#Resampling
#Console: python /store/home/mad/anaconda2/envs/python3/bin/transit resampling 2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig 2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/Results/result_resampling_carey_663_vs_carey_rv_LOESS.txt -l
#Control Data: b'2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig'
#Experimental Data: b'2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig'
#Annotation path: b'/quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table' 
#Time: 2109.9459793567657
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	Sum Ctrl	Sum Exp	Delta Mean	p-value	Adj. p-value
Rv1743	pknE	PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE E PKNE (PROTEIN KINASE E) (STPK E) 	33	227.6	223.3	-0.03	22527.8	14736.53	-4.3	0.92680	1.00000
Rv1744c	-	PROBABLE MEMBRANE PROTEIN 	7	358.2	505.1	0.50	7522.4	7071.28	146.9	0.44820	0.92394
Rv1745c	idi	isopentenyl-diphosphate delta-isomerase 	14	78.8	185.1	1.23	3310.1	5182.74	106.3	0.02500	0.30286
Rv1746	pknF	ANCHORED-MEMBRANE SERINE/THREONINE-PROTEIN KINASE PKNF (PROTEIN KINASE F) (STPK F) 	13	177.9	167.9	-0.08	6936.3	4365.93	-9.9	0.83190	1.00000
Rv1747	-	PROBABLE CONSERVED TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER 	33	282.7	258.9	-0.13	27990.6	17086.47	-23.8	0.65420	0.98465
Rv1748	-	hypothetical protein Rv1748 	12	311.4	279.1	-0.16	11210.1	6699.12	-32.3	0.75740	0.99595
Rv1749c	-	POSSIBLE INTEGRAL MEMBRANE PROTEIN 	16	168.1	122.6	-0.46	8068.3	3922.07	-45.5	0.29830	0.88016
Rv1750c	fadD1	acyl-CoA synthetase 	40	130.0	100.2	-0.38	15594.3	8014.67	-29.8	0.29360	0.87649
Rv1751	-	hypothetical protein Rv1751 	19	69.0	94.0	0.45	3931.2	3570.40	25.0	0.28060	0.86388
Rv1752	-	hypothetical protein Rv1752 	5	65.2	66.7	0.03	978.2	667.21	1.5	0.97690	1.00000
Rv1753c	PPE24	PPE FAMILY PROTEIN 	66	44.9	54.1	0.27	8890.5	7141.55	9.2	0.45380	0.92394
Rv1754c	-	hypothetical protein Rv1754c 	40	185.0	214.5	0.21	22204.5	17157.48	29.4	0.50800	0.94344
Rv1755c	plcD	PROBABLE PHOSPHOLIPASE C 4 (FRAGMENT) PLCD 	19	14.2	81.9	2.53	811.2	3114.04	67.7	0.00000	0.00000
Rv1756c	-	PUTATIVE TRANSPOSASE 	23	182.6	18.7	-3.29	12601.4	860.70	-163.9	0.00000	0.00000
Rv1757c	-	PUTATIVE TRANSPOSASE 	4	228.7	20.0	-3.51	2744.7	160.08	-208.7	0.01810	0.26265
Rv1758	cut1	PROBABLE CUTINASE CUT1 	11	180.3	230.4	0.35	5948.7	5069.60	50.2	0.67690	0.98519
Rv1759c	wag22	PE-PGRS FAMILY PROTEIN 	26	116.1	174.3	0.59	9052.9	9065.95	58.3	0.14830	0.70459
Rv1760	-	hypothetical protein Rv1760 	28	253.7	297.5	0.23	21311.3	16659.27	43.8	0.49120	0.93838
Rv1761c	-	hypothetical protein Rv1761c 	6	129.5	126.6	-0.03	2330.6	1519.78	-2.8	0.97390	1.00000
Rv1762c	-	hypothetical protein Rv1762c 	10	195.8	284.8	0.54	5874.2	5696.72	89.0	0.28870	0.87321
Rv1763	-	PUTATIVE TRANSPOSASE 	4	221.3	28.1	-2.98	2655.3	224.86	-193.2	0.03010	0.33943
Rv1764	-	PUTATIVE TRANSPOSASE 	23	202.3	18.5	-3.45	13959.9	852.94	-183.8	0.00000	0.00000
Rv1765A	-	PUTATIVE TRANSPOSASE (FRAGMENT) 	3	140.2	101.3	-0.47	1262.2	607.94	-38.9	0.53210	0.95163
Rv1765c	-	hypothetical protein Rv1765c 	7	214.4	210.0	-0.03	4502.4	2940.41	-4.4	0.94390	1.00000
Rv1766	-	hypothetical protein Rv1766 	3	122.6	105.5	-0.22	1103.3	632.91	-17.1	0.87570	1.00000
Rv1767	-	hypothetical protein Rv1767 	7	97.3	67.2	-0.53	2043.6	941.13	-30.1	0.43210	0.91738
Rv1768	PE_PGRS31	PE-PGRS FAMILY PROTEIN 	21	178.5	226.4	0.34	11244.8	9506.96	47.9	0.33700	0.90731
Rv1769	-	hypothetical protein Rv1769 	22	151.7	231.3	0.61	10012.1	10176.25	79.6	0.21320	0.79135
Rv1770	-	hypothetical protein Rv1770 	17	291.7	250.0	-0.22	14875.6	8498.71	-41.7	0.52600	0.95052
Rv1771	-	PROBABLE OXIDOREDUCTASE 	26	111.1	152.1	0.45	8666.0	7910.13	41.0	0.15100	0.70459
Rv1772	-	hypothetical protein Rv1772 	4	26.6	57.1	1.10	319.3	456.54	30.5	0.69250	0.98902
Rv1773c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	11	60.5	72.1	0.25	1996.0	1586.62	11.6	0.83160	1.00000
Rv1774	-	PROBABLE OXIDOREDUCTASE 	30	109.5	90.7	-0.27	9853.7	5440.02	-18.8	0.46120	0.92394
Rv1775	-	hypothetical protein Rv1775 	14	70.1	47.1	-0.57	2943.8	1319.31	-23.0	0.23450	0.81579
Rv1776c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	48.7	38.8	-0.33	1754.9	930.58	-10.0	0.74530	0.99595
Rv1777	cyp144	Probable cytochrome p450 144 CYP144 	27	87.5	109.3	0.32	7088.0	5901.21	21.8	0.56570	0.95980
Rv1778c	-	hypothetical protein Rv1778c 	5	56.5	51.8	-0.13	848.0	517.68	-4.8	0.89070	1.00000
Rv1779c	-	HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN 	14	155.2	103.0	-0.59	6518.2	2885.01	-52.2	0.41250	0.91016
Rv1780	-	hypothetical protein Rv1780 	13	212.0	111.3	-0.93	8266.7	2894.82	-100.6	0.01780	0.26265
Rv1781c	malQ	PROBABLE 4-ALPHA-GLUCANOTRANSFERASE MALQ (Amylomaltase) (Disproportionating enzyme) (D-enzyme) 	27	235.8	253.7	0.11	19097.2	13702.10	18.0	0.76910	0.99595
Rv1782	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	20	0.1	1.8	3.85	7.6	73.10	1.7	0.00300	0.07389
Rv1783	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	17	0.0	3.2	2.08	0.0	109.28	3.2	0.00010	0.00416
Rv1784	-	hypothetical protein Rv1784 	41	0.1	3.6	4.87	15.2	296.31	3.5	0.00000	0.00000
Rv1785c	cyp143	PROBABLE CYTOCHROME P450 143 CYP143 	22	111.6	176.6	0.66	7366.5	7772.54	65.0	0.27420	0.85540
Rv1786	-	PROBABLE FERREDOXIN 	1	746.4	813.1	0.12	2239.2	1626.24	66.7	0.76660	0.99595
Rv1787	PPE25	PPE FAMILY PROTEIN 	19	366.7	440.9	0.27	20902.8	16754.53	74.2	0.58450	0.96820
Rv1788	PE18	PE FAMILY PROTEIN 	5	343.7	433.8	0.34	5155.1	4337.85	90.1	0.56230	0.95974
Rv1789	PPE26	PPE FAMILY PROTEIN 	20	277.4	311.8	0.17	16645.5	12471.12	34.4	0.65430	0.98465
Rv1790	PPE27	PPE FAMILY PROTEIN 	20	421.7	519.5	0.30	25302.5	20779.19	97.8	0.52750	0.95052
Rv1791	PE19	PE FAMILY PROTEIN 	6	53.7	182.6	1.77	966.5	2190.75	128.9	0.00100	0.02978
Rv1793	esxN	PUTATIVE ESAT-6 LIKE PROTEIN ESXN (ESAT-6 LIKE PROTEIN 5) 	5	88.2	123.1	0.48	1323.0	1230.99	34.9	0.54250	0.95387
Rv1794	-	hypothetical protein Rv1794 	22	0.4	5.8	3.84	26.7	254.05	5.4	0.00030	0.01078
Rv1795	-	hypothetical protein Rv1795 	22	0.1	6.6	5.86	7.5	289.46	6.5	0.00000	0.00000
Rv1796	mycP5	PROBABLE PROLINE RICH MEMBRANE-ANCHORED MYCOSIN MYCP5 (SERINE PROTEASE) (SUBTILISIN-LIKE PROTEASE) (SUBTILASE-LIKE) (MYCOSIN-5) 	36	0.5	4.9	3.33	52.7	352.68	4.4	0.00000	0.00000
Rv1797	-	hypothetical protein Rv1797 	15	0.1	5.2	5.95	3.8	157.11	5.2	0.00020	0.00775
Rv1798	-	hypothetical protein Rv1798 	30	57.1	73.4	0.36	5140.9	4406.42	16.3	0.38240	0.90731
Rv1799	lppT	PROBABLE LIPOPROTEIN LPPT 	2	98.3	23.6	-2.06	589.7	94.55	-74.6	0.18810	0.75505
Rv1800	PPE28	PPE FAMILY PROTEIN 	40	226.9	247.5	0.13	27230.2	19801.43	20.6	0.67790	0.98519
Rv1801	PPE29	PPE FAMILY PROTEIN 	25	190.3	162.8	-0.23	14274.0	8137.80	-27.6	0.58760	0.96820
Rv1802	PPE30	PPE FAMILY PROTEIN 	21	289.5	327.6	0.18	18240.5	13758.32	38.0	0.55770	0.95602
Rv1803c	PE_PGRS32	PE-PGRS FAMILY PROTEIN 	34	205.3	189.4	-0.12	20943.6	12877.11	-16.0	0.75810	0.99595
Rv1804c	-	hypothetical protein Rv1804c 	10	184.1	81.6	-1.17	5524.3	1631.19	-102.6	0.02920	0.33193
Rv1805c	-	hypothetical protein Rv1805c 	6	12.0	34.8	1.54	215.8	417.61	22.8	0.34340	0.90731
Rv1806	PE20	PE FAMILY PROTEIN 	5	9.6	35.7	1.90	144.0	357.20	26.1	0.12820	0.70167
Rv1807	PPE31	PPE FAMILY PROTEIN 	21	76.4	76.9	0.01	4814.7	3231.36	0.5	0.98320	1.00000
Rv1808	PPE32	PPE FAMILY PROTEIN 	29	315.8	417.2	0.40	27478.6	24199.84	101.4	0.25140	0.82857
Rv1809	PPE33	PPE FAMILY PROTEIN 	24	276.7	266.9	-0.05	19923.7	12810.64	-9.8	0.91460	1.00000
Rv1810	-	hypothetical protein Rv1810 	12	308.2	332.3	0.11	11095.0	7976.03	24.1	0.82700	1.00000
Rv1811	mgtC	POSSIBLE Mg2+ TRANSPORT P-TYPE ATPASE C MGTC 	16	462.7	597.4	0.37	22207.3	19115.73	134.7	0.36390	0.90731
Rv1812c	-	PROBABLE DEHYDROGENASE 	23	288.0	230.5	-0.32	19871.0	10605.00	-57.4	0.50160	0.94272
Rv1813c	-	hypothetical protein Rv1813c 	9	129.8	74.5	-0.80	3504.5	1341.40	-55.3	0.22360	0.80738
Rv1814	erg3	MEMBRANE-BOUND C-5 STEROL DESATURASE ERG3 (STEROL-C5-DESATURASE) 	24	392.7	289.2	-0.44	28274.4	13881.42	-103.5	0.12490	0.69839
Rv1815	-	hypothetical protein Rv1815 	8	200.5	163.0	-0.30	4812.9	2608.05	-37.5	0.64890	0.98271
Rv1816	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	15	215.5	166.2	-0.37	9696.9	4985.77	-49.3	0.46330	0.92476
Rv1817	-	hypothetical protein Rv1817 	29	197.3	176.7	-0.16	17169.4	10248.32	-20.7	0.70040	0.99226
Rv1818c	PE_PGRS33	PE-PGRS FAMILY PROTEIN 	16	102.4	138.8	0.44	4917.1	4440.69	36.3	0.32600	0.89878
Rv1819c	-	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER 	33	369.0	328.5	-0.17	36530.4	21677.76	-40.5	0.50570	0.94344
Rv1820	ilvG	hypothetical protein Rv1820 	20	309.6	329.4	0.09	18578.2	13176.94	19.8	0.81790	1.00000
Rv1821	secA2	preprotein translocase subunit SecA 	39	110.1	77.6	-0.50	12877.5	6054.21	-32.4	0.10830	0.65799
Rv1822	pgsA2	PROBABLE CDP-DIACYLGLYCEROL--GLYCEROL-3-PHOSPHATE 3-PHOSPHATIDYLTRANSFERASE PGSA2 (PGP SYNTHASE) (PHOSPHATIDYLGLYCEROPHOSPHATE SYNTHASE) (3-PHOSPHATIDYL-1'-GLYCEROL-3'PHOSPHATE SYNTHASE) 	17	8.5	19.0	1.17	431.3	647.65	10.6	0.54890	0.95472
Rv1823	-	hypothetical protein Rv1823 	15	95.5	104.8	0.13	4299.5	3142.89	9.2	0.80630	0.99961
Rv1824	-	hypothetical protein Rv1824 	5	133.5	134.9	0.02	2001.9	1348.97	1.4	0.98110	1.00000
Rv1825	-	hypothetical protein Rv1825 	10	266.6	213.0	-0.32	7998.0	4260.60	-53.6	0.58720	0.96820
Rv1826	gcvH	glycine cleavage system protein H 	9	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1827	cfp17	CONSERVED HYPOTHETICAL PROTEIN CFP17 	8	0.0	1.1	1.08	0.0	17.85	1.1	0.15020	0.70459
Rv1828	-	hypothetical protein Rv1828 	14	0.2	23.9	7.02	7.7	669.59	23.7	0.00000	0.00000
Rv1829	-	hypothetical protein Rv1829 	9	189.1	113.7	-0.73	5106.2	2047.15	-75.4	0.09770	0.62819
Rv1830	-	hypothetical protein Rv1830 	11	9.9	26.6	1.42	328.0	585.70	16.7	0.38640	0.90731
Rv1831	-	hypothetical protein Rv1831 	5	207.8	208.3	0.00	3117.0	2083.34	0.5	0.99640	1.00000
Rv1832	gcvB	glycine dehydrogenase 	57	2.1	0.9	-1.19	358.6	104.70	-1.2	0.99910	1.00000
Rv1833c	-	haloalkane dehalogenase 	14	138.0	124.6	-0.15	5796.0	3489.22	-13.4	0.80220	0.99955
Rv1834	-	Probable hydrolase 	12	147.1	190.3	0.37	5296.2	4566.61	43.2	0.49230	0.93838
Rv1835c	-	hypothetical protein Rv1835c 	41	368.9	288.7	-0.35	45368.8	23676.56	-80.1	0.11400	0.66891
Rv1836c	-	hypothetical protein Rv1836c 	43	32.0	62.2	0.96	4127.5	5345.84	30.2	0.00040	0.01364
Rv1837c	glcB	malate synthase G 	26	3.7	11.5	1.65	287.4	600.05	7.9	0.43910	0.92017
Rv1838c	-	hypothetical protein Rv1838c 	10	435.2	465.6	0.10	13057.1	9312.19	30.4	0.80080	0.99955
Rv1839c	-	hypothetical protein Rv1839c 	3	152.0	55.0	-1.47	1367.6	329.85	-97.0	0.25960	0.83664
Rv1840c	PE_PGRS34	PE-PGRS FAMILY PROTEIN 	16	78.1	92.6	0.25	3746.5	2964.23	14.6	0.69170	0.98902
Rv1841c	-	hypothetical protein Rv1841c 	13	190.4	121.5	-0.65	7427.0	3159.29	-68.9	0.19110	0.76021
Rv1842c	-	hypothetical protein Rv1842c 	16	183.9	201.4	0.13	8825.9	6444.87	17.5	0.74280	0.99595
Rv1843c	guaB1	inositol-5-monophosphate dehydrogenase 	23	494.3	464.9	-0.09	34106.3	21386.46	-29.4	0.78910	0.99953
Rv1844c	gnd1	6-phosphogluconate dehydrogenase 	17	480.8	427.6	-0.17	24523.1	14538.93	-53.2	0.65520	0.98465
Rv1845c	-	hypothetical protein Rv1845c 	14	2.1	156.0	6.18	90.1	4366.74	153.8	0.00000	0.00000
Rv1846c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	3	172.2	181.0	0.07	1549.4	1086.04	8.8	0.93170	1.00000
Rv1847	-	hypothetical protein Rv1847 	5	489.3	376.4	-0.38	7339.7	3764.45	-112.9	0.60400	0.97405
Rv1848	ureA	urease subunit gamma 	2	260.7	95.9	-1.44	1564.4	383.76	-164.8	0.10100	0.63626
Rv1849	ureB	urease subunit beta 	6	26.9	123.0	2.19	484.9	1476.48	96.1	0.12540	0.69839
Rv1850	ureC	urease subunit alpha 	18	78.8	70.2	-0.16	4252.7	2528.87	-8.5	0.77590	0.99724
Rv1851	ureF	Urease accessory protein uref 	2	122.4	85.2	-0.52	734.2	340.85	-37.1	0.67150	0.98519
Rv1852	ureG	Urease accessory protein ureG 	5	138.6	148.4	0.10	2078.8	1484.41	9.9	0.90110	1.00000
Rv1853	ureD	Probable urease accessory protein ureD 	6	97.1	136.6	0.49	1748.0	1639.12	39.5	0.64110	0.97932
Rv1854c	ndh	PROBABLE NADH DEHYDROGENASE NDH 	19	37.7	57.4	0.61	2151.5	2182.23	19.7	0.15840	0.70459
Rv1855c	-	POSSIBLE OXIDOREDUCTASE 	14	280.9	263.7	-0.09	11799.7	7382.65	-17.3	0.87270	1.00000
Rv1856c	-	short chain dehydrogenase 	5	165.9	45.0	-1.88	2488.1	450.04	-120.9	0.05770	0.47520
Rv1857	modA	PROBABLE MOLYBDATE-BINDING LIPOPROTEIN MODA 	6	417.3	377.6	-0.14	7511.8	4530.62	-39.8	0.84120	1.00000
Rv1858	modB	PROBABLE MOLBDENUM-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER MODB 	22	214.5	132.3	-0.70	14154.3	5820.60	-82.2	0.12390	0.69839
Rv1859	modC	PROBABLE MOLYBDENUM-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER MODC 	16	150.2	132.4	-0.18	7207.8	4237.03	-17.8	0.66030	0.98519
Rv1860	apa	ALANINE AND PROLINE RICH SECRETED PROTEIN APA (FIBRONECTIN ATTACHMENT PROTEIN) (Immunogenic protein MPT32) (Antigen MPT-32) (45-kDa glycoprotein) (45/47 kDa antigen) 	16	181.7	185.8	0.03	8719.8	5946.81	4.2	0.95300	1.00000
Rv1861	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	7	183.9	177.3	-0.05	3862.0	2481.59	-6.7	0.95610	1.00000
Rv1862	adhA	Probable alcohol dehydrogenase adhA 	15	240.1	270.1	0.17	10802.4	8104.19	30.1	0.72800	0.99595
Rv1863c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	10	302.1	362.1	0.26	9061.9	7241.04	60.0	0.64770	0.98263
Rv1864c	-	hypothetical protein Rv1864c 	10	245.8	260.8	0.09	7373.5	5215.17	15.0	0.84490	1.00000
Rv1865c	-	short chain dehydrogenase 	13	254.0	219.0	-0.21	9906.5	5693.20	-35.0	0.70980	0.99595
Rv1866	-	hypothetical protein Rv1866 	34	74.6	74.3	-0.01	7613.6	5055.16	-0.3	0.99140	1.00000
Rv1867	-	acetyl-CoA acetyltransferase 	20	160.9	166.8	0.05	9655.3	6671.95	5.9	0.91980	1.00000
Rv1868	-	hypothetical protein Rv1868 	32	164.3	200.0	0.28	15769.1	12799.26	35.7	0.41810	0.91054
Rv1869c	-	Probable reductase 	26	188.4	146.2	-0.37	14697.4	7600.53	-42.3	0.27890	0.86183
Rv1870c	-	hypothetical protein Rv1870c 	12	187.2	112.0	-0.74	6739.6	2687.62	-75.2	0.42050	0.91135
Rv1871c	-	hypothetical protein Rv1871c 	9	265.6	237.9	-0.16	7170.6	4281.87	-27.7	0.72910	0.99595
Rv1872c	lldD2	POSSIBLE L-LACTATE DEHYDROGENASE (CYTOCHROME) LLDD2 	14	197.5	286.2	0.54	8295.3	8013.11	88.7	0.49220	0.93838
Rv1873	-	hypothetical protein Rv1873 	10	509.3	344.8	-0.56	15279.3	6896.58	-164.5	0.23540	0.81579
Rv1874	-	hypothetical protein Rv1874 	12	249.9	308.6	0.30	8997.0	7405.66	58.7	0.49690	0.93964
Rv1875	-	hypothetical protein Rv1875 	5	321.9	594.2	0.88	4828.7	5942.27	272.3	0.19650	0.77287
Rv1876	bfrA	PROBABLE BACTERIOFERRITIN BFRA 	10	332.1	367.3	0.15	9963.2	7346.41	35.2	0.78850	0.99940
Rv1877	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	33	278.6	290.3	0.06	27577.8	19157.56	11.7	0.79070	0.99955
Rv1878	glnA3	PROBABLE GLUTAMINE SYNTHETASE GLNA3 (GLUTAMINE SYNTHASE) (GS-I) 	27	87.3	116.8	0.42	7067.5	6307.63	29.6	0.37520	0.90731
Rv1879	-	hypothetical protein Rv1879 	19	147.5	107.3	-0.46	8407.9	4077.30	-40.2	0.38480	0.90731
Rv1880c	cyp140	Probable cytochrome p450 140 CYP140 	16	151.5	170.7	0.17	7273.3	5463.60	19.2	0.65610	0.98467
Rv1881c	lppE	POSSIBLE CONSERVED LIPOPROTEIN LPPE 	8	354.6	238.6	-0.57	8510.0	3818.00	-116.0	0.42500	0.91583
Rv1882c	-	short chain dehydrogenase 	15	365.5	309.1	-0.24	16447.5	9274.22	-56.4	0.56290	0.95974
Rv1883c	-	hypothetical protein Rv1883c 	7	260.9	223.8	-0.22	5479.0	3132.51	-37.2	0.68290	0.98568
Rv1884c	rpfC	PROBABLE RESUSCITATION-PROMOTING FACTOR RPFC 	6	175.0	155.7	-0.17	3150.8	1868.42	-19.3	0.80570	0.99955
Rv1885c	-	chorismate mutase 	14	281.9	270.4	-0.06	11840.4	7570.76	-11.5	0.90490	1.00000
Rv1886c	fbpB	SECRETED ANTIGEN 85-B FBPB (85B) (ANTIGEN 85 COMPLEX B) (MYCOLYL TRANSFERASE 85B) (FIBRONECTIN-BINDING PROTEIN B) (EXTRACELLULAR ALPHA-ANTIGEN) 	25	399.9	429.9	0.10	29991.5	21496.25	30.0	0.74820	0.99595
Rv1887	-	hypothetical protein Rv1887 	25	284.9	353.7	0.31	21368.1	17682.68	68.7	0.44480	0.92394
Rv1888A	-	hypothetical protein Rv1888A 	0	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1888c	-	POSSIBLE TRANSMEMBRANE PROTEIN 	18	312.9	236.0	-0.41	16897.7	8496.18	-76.9	0.33150	0.90516
Rv1889c	-	hypothetical protein Rv1889c 	4	104.7	126.0	0.27	1256.0	1007.71	21.3	0.78330	0.99750
Rv1890c	-	hypothetical protein Rv1890c 	8	156.3	249.6	0.68	3752.0	3993.99	93.3	0.25550	0.83386
Rv1891	-	hypothetical protein Rv1891 	8	181.3	258.6	0.51	4350.3	4138.15	77.4	0.31850	0.89196
Rv1892	-	PROBABLE MEMBRANE PROTEIN 	7	407.6	258.6	-0.66	8558.9	3620.70	-148.9	0.32490	0.89878
Rv1893	-	hypothetical protein Rv1893 	0	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1894c	-	hypothetical protein Rv1894c 	14	366.0	218.6	-0.74	15372.3	6120.21	-147.4	0.19450	0.76913
Rv1895	-	POSSIBLE DEHYDROGENASE 	18	90.4	133.4	0.56	4879.3	4801.08	43.0	0.23900	0.81637
Rv1896c	-	hypothetical protein Rv1896c 	24	153.5	106.8	-0.52	11050.8	5124.34	-46.7	0.24750	0.82738
Rv1897c	-	D-tyrosyl-tRNA deacylase 	5	114.5	157.8	0.46	1717.1	1578.31	43.4	0.47140	0.92989
Rv1898	-	hypothetical protein Rv1898 	3	87.1	233.4	1.42	783.5	1400.57	146.4	0.56270	0.95974
Rv1899c	lppD	POSSIBLE LIPOPROTEIN LPPD 	13	261.0	293.4	0.17	10177.1	7627.21	32.4	0.69110	0.98902
Rv1900c	lipJ	PROBABLE LIGNIN PEROXIDASE LIPJ 	24	90.8	124.2	0.45	6534.5	5963.05	33.5	0.27700	0.86010
Rv1901	cinA	competence damage-inducible protein A 	18	175.8	200.7	0.19	9493.4	7225.58	24.9	0.62430	0.97682
Rv1902c	nanT	PROBABLE SIALIC ACID-TRANSPORT INTEGRAL MEMBRANE PROTEIN NANT 	33	160.9	171.1	0.09	15931.6	11294.48	10.2	0.80900	1.00000
Rv1903	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	5	240.0	277.8	0.21	3600.7	2778.17	37.8	0.73410	0.99595
Rv1904	-	hypothetical protein Rv1904 	10	266.5	331.9	0.32	7994.8	6638.65	65.4	0.59870	0.97355
Rv1905c	aao	PROBABLE D-AMINO ACID OXIDASE AAO 	18	262.3	234.8	-0.16	14166.5	8452.83	-27.5	0.62660	0.97682
Rv1906c	-	hypothetical protein Rv1906c 	9	230.0	180.6	-0.35	6208.7	3250.89	-49.3	0.53440	0.95348
Rv1907c	-	hypothetical protein Rv1907c 	10	146.0	84.1	-0.80	4381.0	1681.36	-62.0	0.30460	0.88247
Rv1908c	katG	CATALASE-PEROXIDASE-PEROXYNITRITASE T KATG 	39	87.9	34.8	-1.34	10287.0	2711.91	-53.2	0.00000	0.00000
Rv1909c	furA	FERRIC UPTAKE REGULATION PROTEIN FURA (FUR) 	12	173.9	135.8	-0.36	6258.6	3258.37	-38.1	0.53920	0.95348
Rv1910c	-	PROBABLE EXPORTED PROTEIN 	13	193.3	278.7	0.53	7538.4	7246.65	85.4	0.37490	0.90731
Rv1911c	lppC	PROBABLE LIPOPROTEIN LPPC 	9	88.9	115.5	0.38	2401.5	2079.10	26.6	0.58140	0.96577
Rv1912c	fadB5	POSSIBLE OXIDOREDUCTASE FADB5 	15	86.9	120.4	0.47	3912.6	3612.22	33.5	0.46000	0.92394
Rv1913	-	hypothetical protein Rv1913 	11	110.1	82.9	-0.41	3634.6	1824.72	-27.2	0.60310	0.97405
Rv1914c	-	hypothetical protein Rv1914c 	7	190.0	235.8	0.31	3990.7	3301.67	45.8	0.68050	0.98519
Rv1915	aceAa	PROBABLE ISOCITRATE LYASE aceAa 	21	90.7	143.8	0.67	5712.6	6039.87	53.1	0.23110	0.81579
Rv1916	aceAb	isocitrate lyase 	17	105.6	69.5	-0.60	5388.0	2361.77	-36.2	0.29790	0.88016
Rv1917c	PPE34	PPE FAMILY PROTEIN 	121	113.4	132.5	0.22	41182.0	32063.83	19.0	0.34310	0.90731
Rv1918c	PPE35	PPE FAMILY PROTEIN 	75	109.5	134.4	0.30	24638.1	20156.61	24.9	0.33910	0.90731
Rv1919c	-	hypothetical protein Rv1919c 	7	265.2	372.1	0.49	5568.6	5208.71	106.9	0.63460	0.97697
Rv1920	-	PROBABLE MEMBRANE PROTEIN 	12	175.8	417.4	1.25	6329.3	10018.09	241.6	0.01530	0.24034
Rv1921c	lppF	PROBABLE CONSERVED LIPOPROTEIN LPPF 	22	235.7	226.5	-0.06	15553.5	9965.28	-9.2	0.88240	1.00000
Rv1922	-	PROBABLE CONSERVED LIPOPROTEIN 	20	145.8	113.5	-0.36	8751.0	4538.73	-32.4	0.30180	0.88182
Rv1923	lipD	PROBABLE LIPASE LIPD 	34	242.0	163.2	-0.57	24681.8	11098.57	-78.8	0.03070	0.34121
Rv1924c	-	hypothetical protein Rv1924c 	11	150.2	83.2	-0.85	4956.0	1829.80	-67.0	0.10730	0.65799
Rv1925	fadD31	acyl-CoA synthetase 	38	161.6	193.8	0.26	18420.2	14726.29	32.2	0.41230	0.91016
Rv1926c	mpt63	IMMUNOGENIC PROTEIN MPT63 (ANTIGEN MPT63/MPB63) (16 kDa IMMUNOPROTECTIVE EXTRACELLULAR PROTEIN) 	8	141.6	78.9	-0.84	3399.2	1262.33	-62.7	0.22930	0.81579
Rv1927	-	hypothetical protein Rv1927 	17	188.0	176.0	-0.10	9589.6	5985.60	-12.0	0.84030	1.00000
Rv1928c	-	short chain dehydrogenase 	18	245.5	172.6	-0.51	13254.4	6214.91	-72.8	0.18500	0.74863
Rv1929c	-	hypothetical protein Rv1929c 	9	140.8	55.4	-1.34	3801.5	998.03	-85.3	0.11970	0.68819
Rv1930c	-	hypothetical protein Rv1930c 	5	17.9	43.1	1.27	268.1	430.89	25.2	0.25140	0.82857
Rv1931c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	82.7	57.1	-0.53	1240.2	570.70	-25.6	0.63700	0.97741
Rv1932	tpx	thiol peroxidase 	8	129.9	199.6	0.62	3118.2	3193.58	69.7	0.44400	0.92394
