Rv_ID,Name,Description,Final Call,Functional_Category,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,pca1,pca2,pca3,tsne1,tsne2,y_hc
Rv1286,cysN,Probable bifunctional enzyme CysN/CysC: sulfate adenyltransferase (subunit 1) + adenylylsulfate kinase,GD,intermediary metabolism and respiration,1.03,0.42,-0.33,-0.7,-0.39,-1.12,-1.87,-0.66,-4.6,-2.33,0.28,0.05,-0.23,-0.17,-1.43,-0.92,-0.54,-0.61,-0.91,-2.59,-0.92,-3.53,0.02,-0.34,1.08,-2.11,2.0,3.98,-1.55,-0.22,2.51,-0.8,4.2,-0.71,-1.26,-1.08,-4.69,0.08,0.21,-1.42,-1.74,-0.61,-0.58,0.03,-0.5,-0.83,-0.88,0.45,0.93,-0.09,-0.52,-0.08,0.34,0.32,0.64,1.37,-0.53,-0.85,-2.29,-3.27,1.17,0.77,-1.01,-4.6,6.393550966012783,-2.0770793597872994,-3.739823716600109,-6.679157,36.781918,1
Rv1287,-,hypothetical protein,NE,conserved hypotheticals,0.0,0.26,-0.01,0.13,0.13,-3.47,2.44,0.49,1.23,1.05,-0.65,0.36,1.01,0.94,-0.33,2.07,-0.03,0.44,-0.24,-0.27,-0.26,0.24,1.7,2.09,1.19,-0.66,1.08,2.97,2.14,1.92,-1.58,-3.26,0.19,-0.18,0.35,3.19,-0.99,-1.9,1.55,0.18,0.63,-0.69,-0.9,-0.22,4.98,-1.22,-2.83,0.28,0.38,-0.15,0.2,0.16,-0.07,-0.23,-0.07,-1.47,1.04,-2.71,0.44,4.06,-0.57,-3.64,-1.27,-2.4,-11.35596339693336,4.099267665970491,-0.470717009210499,14.731199,-33.999992,1
Rv1288,-,hypothetical protein,NE,conserved hypotheticals,-0.27,-0.18,-0.05,0.33,-0.09,-0.48,0.08,0.04,-0.44,-0.06,-0.18,0.05,0.24,1.01,0.4,0.38,0.07,0.16,0.2,0.37,0.24,-0.26,0.34,0.57,1.02,0.2,-0.28,2.05,2.07,0.63,1.05,0.17,0.36,-0.24,-0.23,1.93,-0.27,-0.04,-0.04,0.21,0.05,0.35,0.11,-0.24,-0.15,-0.03,-0.03,0.35,0.36,0.08,0.1,-0.05,-0.06,0.06,0.62,-0.08,0.23,-0.41,0.44,0.58,0.11,1.16,-0.01,-0.51,5.249419343952489,4.0568594287111415,0.6046901826515084,-31.068558,10.444593,0
Rv1289,-,hypothetical protein,NE,conserved hypotheticals,-0.09,-0.03,-0.2,0.57,-0.46,-0.13,-0.11,-0.17,-0.18,-0.23,0.15,0.07,-0.08,-1.19,-0.88,1.04,-0.26,-0.11,-0.33,0.63,-0.59,-2.66,-1.0,0.77,3.54,0.11,-4.31,-1.86,-0.21,-2.55,-4.18,-4.29,-1.23,0.23,-0.15,0.63,-0.85,-0.49,-0.76,-0.21,-0.22,0.28,0.28,-0.0,2.45,-0.31,0.02,-0.16,-0.22,-0.15,0.04,-0.25,0.12,0.14,0.62,0.02,-0.14,-1.7,-0.16,-0.19,-1.05,-0.29,0.3,1.27,-4.178678520070268,0.6055691380420598,-0.42960495433980433,23.513788,-43.23432,0
Rv1290A,-,Hypothetical protein,NE,conserved hypotheticals,0.8,0.6,0.48,-0.26,0.4,-6.38,0.05,0.7,-0.89,-0.23,0.94,0.26,-0.68,0.3,-0.06,0.11,0.28,-0.0,-0.3,0.96,-0.48,0.95,0.88,-6.97,-8.17,-0.26,0.96,0.4,0.38,-3.67,-7.15,-2.53,-1.16,-0.14,0.61,1.12,-0.82,0.37,-2.19,0.04,-1.25,-0.45,0.34,0.79,0.83,-0.12,-1.09,-0.01,-0.16,-0.11,-0.24,0.39,0.05,0.12,-1.56,0.75,-1.87,-0.22,-0.01,2.21,6.04,-2.96,-5.78,2.6,-3.6628953528055845,6.337123283004606,-3.633689606409927,3.7909598,-45.114952,2
Rv1290c,-,hypothetical protein,NE,conserved hypotheticals,-0.31,-0.33,-0.02,0.84,-0.02,-2.39,0.09,-0.06,-0.09,-0.09,0.26,-0.0,-0.26,0.17,0.52,0.11,0.3,-0.03,-0.21,0.66,-0.11,0.43,-0.67,-0.3,-0.71,0.03,-0.76,-1.32,-0.13,-0.97,-1.1,0.3,0.8,-0.38,-0.39,0.33,0.04,-0.63,-0.34,0.16,0.19,0.4,0.13,-0.27,-0.17,0.0,-0.03,0.3,0.3,0.66,0.1,0.06,0.02,0.12,0.03,0.03,-0.45,0.08,0.3,0.69,0.06,-0.49,-0.05,1.11,-1.0417721004870841,0.693089108819053,-4.096520937871754,10.546142,16.907394,0
Rv1291c,-,Conserved hypothetical secreted protein,NE,cell wall and cell processes,-0.02,-0.15,0.25,-0.97,0.14,-2.64,0.85,-0.03,1.82,2.86,0.11,0.01,-0.11,-1.14,-2.05,-1.67,-2.65,-1.01,-2.81,-2.87,-2.59,-2.46,6.06,1.72,4.05,-0.13,-1.73,0.46,-0.27,0.73,4.86,1.67,-0.76,0.04,0.28,-0.07,2.14,0.21,0.02,1.2,-0.6,-0.3,0.45,0.75,0.56,-0.13,0.08,-0.08,-0.38,0.0,-0.14,0.42,0.37,0.1,-2.91,0.5,-0.61,0.72,-0.42,-0.78,-0.36,-1.19,2.43,3.76,-1.1026370548714863,-1.5407605982455925,-0.7718087233827141,8.681339,13.322118,3
Rv1298,rpmE,50S ribosomal protein L31 RpmE,NE,information pathways,-0.97,1.26,-0.21,-3.18,0.69,0.0,1.94,0.2,3.2,2.5,0.0,0.0,0.0,0.84,3.92,1.75,4.63,3.27,1.28,4.45,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-1.3,0.0,-1.58,-1.88,-3.15,-2.6,-0.88,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.74,0.0,0.07,-5.74,0.0,0.0,0.0,-1.12,-4.7,-4.41,1.2655125111739685,-0.7052715784897697,-2.4655250709735923,2.0204098,27.750872,1
Rv1300,hemK,Probable HemK protein homolog HemK,GD,intermediary metabolism and respiration,0.3,0.4,1.4,-4.07,-1.98,0.0,0.85,0.2,1.23,0.0,0.0,0.0,0.0,5.65,6.59,4.83,5.92,4.88,4.51,6.68,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.92,-1.36,0.0,-0.92,-0.92,0.0,2.93,4.41,0.19,0.0,-0.19,0.0,-0.09,-0.09,2.98,10.37,-1.31,-0.47,0.0,-1.19,-0.44,-2.8,0.0,0.0,-2.8,0.0,0.0,0.0,0.0,-1.95,-1.95,-3.5106136745160375,-0.8817999600493962,1.0146623002669215,10.709421,-20.475557,1
Rv1301,-,hypothetical protein,GD,conserved hypotheticals,2.64,0.74,-0.34,-0.49,-0.91,0.0,-0.64,-0.31,-0.44,-1.41,0.12,0.12,0.0,3.88,1.32,3.2,3.91,2.56,2.98,3.87,-0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,-0.6,0.0,-0.79,-0.18,0.0,2.38,2.56,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.42,0.0,0.0,-0.92,-0.25,0.0,-5.11,0.0,1.6,-5.11,0.0,0.0,0.0,0.0,-4.09,-4.09,-2.4747965772931755,-0.5699186487828104,-2.9120514672677396,26.081314,22.658894,1
Rv1303,-,hypothetical protein,NE,cell wall and cell processes,0.28,-0.04,-0.16,2.0,0.22,-3.9,-1.25,0.55,-3.66,-0.73,-1.82,-2.99,-1.18,-3.09,0.11,-1.45,-4.0,-0.14,-0.68,-0.6,-0.94,0.33,-4.86,-3.59,-3.9,0.0,-3.59,-3.9,0.0,-3.59,-3.9,0.0,0.0,0.63,-0.02,-0.81,0.05,-4.88,0.0,1.54,-0.89,2.97,0.7,-2.27,-0.37,0.02,0.82,0.16,0.05,-1.57,-0.77,-0.22,-0.01,0.24,-6.16,-1.23,5.91,-6.16,0.12,2.33,0.0,-2.33,-5.15,1.61,1.8896136194785516,5.7901559370246805,2.4394662306254857,-29.693869,4.189471,2
Rv1311,atpC,Probable ATP synthase epsilon chain AtpC,Uncertain,intermediary metabolism and respiration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5394573142976097,-0.7415143344612383,-2.7815791387526945,12.599698,25.021692,0
Rv1312,-,Conserved hypothetical secreted protein,NE,cell wall and cell processes,0.74,0.73,0.07,1.95,0.2,1.92,1.12,-0.27,0.28,0.61,-3.03,-0.41,2.62,0.61,0.87,1.67,0.4,0.25,0.38,0.47,0.53,-3.55,0.44,0.5,0.99,-3.06,0.81,5.01,0.65,-3.85,-0.55,-0.46,-1.3,-0.2,0.67,5.52,-5.99,0.8,2.85,-1.12,-1.44,-3.61,-3.18,0.43,3.05,-0.18,-0.92,-0.31,-0.06,-2.32,-1.35,0.2,-1.03,0.22,0.38,-0.99,0.04,-7.34,-1.6,0.87,3.14,0.22,-5.65,-3.29,-2.8283548774618334,-2.389594315062627,1.7052291219667552,14.055045,-15.41944,1
Rv1313c,-,Possible transposase,NE,insertion seqs and phages,0.07,-0.09,0.19,-0.17,0.15,-1.04,0.6,0.15,0.67,0.6,0.13,0.5,0.36,-0.02,0.2,0.1,-0.31,-0.51,0.1,-0.05,0.48,0.13,0.52,-0.01,0.08,0.21,-0.01,-0.16,-0.01,1.07,0.64,-0.31,0.0,-0.23,-0.1,-0.1,0.83,-0.04,-0.13,-0.05,-0.02,0.26,-0.02,-0.28,0.59,0.12,-0.01,0.17,0.25,-0.01,-0.15,-0.24,0.1,0.02,-0.16,-0.04,-0.19,-0.78,0.41,0.01,0.08,0.2,0.26,0.51,-4.026524546022995,0.14148791701486335,2.418324115816818,8.876538,-23.84581,0
Rv1314c,-,hypothetical protein,NE,conserved hypotheticals,0.1,0.19,-0.19,-0.72,-0.11,1.79,-0.1,0.0,0.54,0.77,0.58,0.05,-0.52,-0.19,0.39,-0.48,-0.01,-0.21,-0.0,-0.14,-0.23,-0.83,-0.51,-1.52,0.01,0.69,-0.56,-0.75,-1.02,-0.54,-0.13,-0.43,-3.31,0.16,0.26,0.33,0.32,-0.58,-0.22,0.89,0.19,-0.98,-2.17,-1.19,-0.41,-0.09,-0.74,-0.22,0.17,-1.12,-0.6,0.1,-0.21,-0.03,0.06,-0.72,0.83,-0.99,-0.05,0.89,0.19,1.54,-0.51,-2.06,6.324280121435018,-1.075131834465417,4.524566384635703,-19.179918,25.516926,0
Rv1316c,ogt,Methylated-DNA--protein-cysteine methyltransferase Ogt (6-O-methylguanine-DNA methyltransferase) (O-6-methylguanine-DNA-alkyltransferase),NE,information pathways,-0.31,-0.46,0.27,1.2,-0.16,-6.82,0.1,-0.13,0.12,-0.4,0.89,0.66,-0.23,0.65,-0.31,-0.32,-0.41,-0.43,-0.31,0.06,-0.15,0.76,-0.39,-1.54,-2.83,-0.53,-0.62,-2.11,-0.74,-1.3,-4.26,-2.2,-0.56,-0.51,-0.3,0.37,0.4,-0.42,0.93,-0.62,-1.1,0.45,0.28,-0.17,0.22,-0.06,-0.49,0.15,0.12,-0.93,-0.6,0.57,0.03,0.02,-1.41,-0.15,1.54,-2.28,-0.48,-0.48,-0.43,-0.6,0.75,0.67,1.3993109908572694,-0.07905258516914528,0.7816874713712479,-13.1713295,8.143125,3
Rv1317c,alkA,Probable bifunctional regulatory protein and DNA repair enzyme AlkA (regulatory protein of adaptative response) (methylphosphotriester-DNA--protein-cysteine S-methyltransferase),NE,information pathways,0.23,0.18,-0.22,0.42,-0.05,-5.37,-0.34,-0.05,-0.13,0.05,-0.59,-0.3,0.29,-0.65,-0.14,1.17,-0.24,0.02,-0.0,0.7,-0.4,-0.18,1.03,0.5,0.97,0.28,0.3,0.22,-0.26,-0.34,0.07,0.23,2.49,0.2,0.07,2.04,0.24,-0.83,-0.13,0.27,-0.31,-0.18,-0.02,0.17,0.35,0.04,0.04,-0.16,-0.14,1.26,0.67,0.37,-0.04,-0.0,0.11,-0.2,0.82,-0.07,-0.01,1.13,-0.09,-0.52,0.38,0.55,4.765152246302897,0.6336431923841781,-2.7354666383358768,-3.2718608,36.179432,3
Rv1318c,-,Possible adenylate cyclase (ATP pyrophosphate-lyase) (adenylyl cyclase),NE,intermediary metabolism and respiration,-0.06,-0.19,0.4,-0.26,0.24,-2.52,-0.03,0.32,-0.41,0.26,-0.15,0.11,0.26,0.04,-0.07,-0.16,-0.1,-0.15,0.33,0.11,-0.49,1.01,0.03,0.53,0.08,0.55,-0.05,-1.36,-0.3,0.48,-1.07,-0.54,-0.48,-0.13,-0.14,0.22,0.16,-0.19,-0.26,0.2,0.05,0.36,-0.04,-0.4,0.68,0.05,0.11,0.19,0.16,-0.25,-0.12,0.07,0.14,0.02,0.03,-0.14,-0.0,-0.14,0.21,0.74,-0.43,0.37,-0.08,0.05,0.24228566900861784,-1.745227234120549,0.8770905675084182,-1.935625,5.911639,0
Rv1319c,-,Possible adenylate cyclase (ATP pyrophosphate-lyase) (adenylyl cyclase),NE,intermediary metabolism and respiration,0.03,-0.07,-0.0,-0.19,-0.08,1.18,-0.14,-0.24,0.03,-0.14,-0.43,-0.04,0.38,-0.35,0.65,0.1,0.29,-0.1,0.05,-0.13,0.0,0.66,0.3,1.11,1.08,0.64,0.16,-0.34,0.16,0.23,0.44,0.87,-0.38,-0.17,-0.06,-0.03,0.06,0.05,-0.14,0.19,0.26,0.74,0.23,-0.51,0.21,-0.0,0.13,0.21,0.33,0.15,-0.1,0.09,0.14,0.08,-0.25,0.07,0.36,-0.2,0.09,0.21,-0.61,0.37,0.76,0.26,-1.1126910042372506,-0.6335856123525648,2.541793823595286,-0.47598764,-14.900303,0
Rv1320c,-,Possible adenylate cyclase (ATP pyrophosphate-lyase) (adenylyl cyclase),NE,intermediary metabolism and respiration,-0.06,-0.08,0.0,0.39,-0.1,1.08,-0.14,-0.15,-0.36,-0.14,0.3,-0.06,-0.36,-0.7,0.05,-0.24,-0.08,-0.39,-0.11,-0.43,-0.91,0.09,0.61,0.14,0.1,0.06,-0.17,-0.1,0.15,-0.34,0.31,0.74,1.74,-0.09,-0.03,0.17,-0.15,-0.21,-0.49,0.16,-0.22,0.25,-0.11,-0.36,-0.23,-0.05,-0.03,-0.2,-0.25,0.39,0.18,0.18,0.05,0.13,0.18,-0.07,-0.11,0.44,-0.11,0.41,-0.22,-0.73,0.85,1.81,-1.6618341378324557,9.208523857000754,1.1332048765923095,-7.682351,-41.333862,0
Rv1321,-,hypothetical protein,NE,conserved hypotheticals,-0.09,0.02,-0.03,1.2,-0.01,-6.19,-0.53,-0.11,-0.58,-0.79,0.19,0.02,-0.17,-0.5,-0.65,-0.4,0.73,-0.2,-0.01,-0.59,-0.37,-0.88,2.79,-1.56,-0.03,0.65,-0.17,0.58,-0.14,-1.1,-0.76,-0.54,-0.18,-0.06,0.45,0.51,-0.01,0.12,-0.08,0.18,0.76,0.19,0.49,0.31,0.1,-0.01,-0.06,0.42,0.39,-0.15,-0.34,0.12,0.12,0.03,0.24,-0.21,-0.72,-0.88,-0.13,0.39,-0.08,-2.58,-0.06,1.02,4.48300910516581,2.4240040137307206,-4.709439787679523,-11.979302,25.652082,3
Rv1322,-,hypothetical protein,NE,conserved hypotheticals,-0.1,0.01,0.6,0.86,0.05,3.14,-1.6,0.08,-1.94,-1.17,-0.22,-0.43,-0.21,-0.41,2.7,0.83,-0.14,0.56,-0.15,0.01,0.04,-1.27,-1.86,-3.67,-1.3,1.1,1.03,1.89,-0.41,2.94,3.08,-1.13,1.07,0.21,0.01,1.09,-1.27,1.52,-0.76,-0.08,-0.69,-2.6,-1.37,1.23,0.97,0.2,0.18,-0.05,0.0,-1.48,-1.08,-1.02,-0.16,0.25,-0.24,0.45,0.56,-0.06,0.51,0.0,1.75,-1.12,-1.79,0.26,-1.84631074332489,-2.821906883948136,2.357786586317803,5.4004483,-15.052433,1
Rv1322A,-,hypothetical protein,NE,conserved hypotheticals,0.17,-0.12,-0.03,0.24,-0.43,-7.49,0.22,0.01,-0.49,-0.52,1.06,0.88,-0.18,0.35,1.15,0.79,1.17,0.13,-0.11,0.12,0.02,0.32,-1.84,-0.65,-1.63,-0.66,0.15,-0.63,-0.45,-0.31,-0.97,-0.33,0.87,-0.18,0.14,0.89,-0.69,-0.06,-0.73,0.77,-0.9,1.65,0.54,-1.12,1.77,-0.37,-0.81,0.33,0.42,-0.4,0.12,0.13,0.04,0.25,-2.88,0.52,-1.32,-1.34,0.06,0.87,1.81,0.95,-1.79,-2.61,3.722153941736339,1.4331623308418124,-2.3561688742964266,-8.001877,23.777609,3
Rv1323,fadA4,Probable acetyl-CoA acetyltransferase FadA4 (acetoacetyl-CoA thiolase),NE,lipid metabolism,-0.16,-0.16,0.15,0.81,0.23,-4.42,0.25,0.02,-0.27,0.03,0.78,0.07,-0.71,-0.3,-0.07,-0.41,-0.15,-0.28,-0.12,-0.78,-0.3,-1.25,0.81,0.68,1.34,-0.59,1.28,2.98,0.45,0.91,1.35,-0.81,0.61,-0.12,-0.27,0.09,1.28,-0.37,-1.17,0.65,0.2,-0.2,-0.92,-0.72,3.38,-0.13,-0.76,-0.43,-0.36,-0.05,-0.2,0.2,0.07,0.52,-1.03,-0.41,1.75,-0.69,-1.36,-1.35,-0.16,0.97,-0.19,-0.22,-2.1333655083046867,-2.5881551083986434,-0.2246646773396828,18.576044,9.138036,3
Rv1324,-,Possible thioredoxin,NE,intermediary metabolism and respiration,-1.47,-1.57,-0.87,-1.19,-1.64,0.0,3.87,-0.83,3.05,3.09,0.51,0.58,0.43,0.38,-0.22,1.09,-0.21,0.3,1.06,-1.17,1.08,0.0,0.0,0.0,0.0,0.0,0.0,2.18,2.18,0.0,0.0,0.0,0.0,-3.44,-3.65,0.91,-4.37,-6.81,0.49,-0.6,0.34,0.0,0.0,0.0,0.0,0.2,-0.36,0.43,0.55,5.06,3.24,-0.13,0.37,0.35,0.0,0.0,-2.29,0.0,0.0,0.0,2.43,0.0,0.0,0.0,6.563122321173076,3.600740541475758,-4.157413429296469,-31.815239,22.922468,1
Rv1325c,PE_PGRS24,PE-PGRS family protein PE_PGRS24,NE,PE/PPE,0.62,0.33,-0.24,0.35,-0.3,-7.22,0.67,-0.39,0.93,0.92,-0.58,-0.59,-0.0,-2.14,0.01,1.07,0.33,0.16,0.38,-0.34,-0.23,0.21,-1.42,0.42,0.27,0.06,-3.5,-3.86,-0.16,2.16,0.4,-1.55,0.14,0.73,-0.04,-0.23,0.36,1.21,1.45,0.07,0.28,0.36,0.58,0.22,3.51,-0.01,-0.58,-0.46,-0.88,1.04,0.47,0.27,0.29,0.15,0.13,-0.17,-1.37,-0.33,0.03,0.21,-2.59,1.06,0.03,-0.62,9.963443633569751,-1.7159679805616577,1.7419754435278716,-22.275867,31.40204,0
Rv1328,glgP,Probable glycogen phosphorylase GlgP,NE,intermediary metabolism and respiration,0.7,0.32,0.12,-0.51,0.1,0.13,0.7,-0.03,1.03,0.27,0.26,-0.13,-0.38,-0.26,0.87,0.11,0.49,0.18,-0.06,0.7,0.99,1.24,1.97,-2.4,-4.11,-0.47,-1.46,-1.71,0.99,-2.84,-1.7,2.38,3.01,-0.32,-0.78,0.19,-0.01,0.94,0.15,-0.18,-0.38,0.72,1.06,0.34,-1.15,0.19,0.72,0.6,0.61,2.17,1.7,1.19,0.3,0.65,-2.09,0.39,-0.0,-0.08,-1.11,-1.77,-0.52,0.22,-1.24,0.48,-5.442687794219414,1.0145423061805805,1.0071419531844177,13.134897,-30.864252,0
Rv1329c,dinG,Probable ATP-dependent helicase DinG,NE,information pathways,-0.32,-0.33,0.0,0.25,0.32,-0.28,-0.24,0.03,0.33,0.01,-0.59,-0.25,0.34,-0.76,0.53,0.96,0.59,0.2,-0.12,0.57,0.37,1.15,2.33,-0.02,-2.64,-1.47,0.4,-1.26,-0.51,1.54,-0.93,-1.32,0.27,-0.37,-0.17,0.42,-0.99,-0.04,0.55,-0.04,1.23,-0.12,0.14,0.26,0.33,-0.22,0.18,-0.2,-0.19,0.29,0.32,0.3,0.07,0.15,0.04,-0.11,0.41,0.58,0.36,1.17,0.58,-0.21,-0.46,0.18,-1.9026674373702988,-0.9460977374658341,1.1656548373612525,4.1116405,-9.799964,0
Rv1330c,pncB1,Nicotinic acid phosphoribosyltransferase PncB1,NE,intermediary metabolism and respiration,0.16,0.05,0.08,-0.32,0.13,1.47,0.49,0.18,0.73,0.36,-0.61,-0.7,-0.09,0.72,0.12,0.0,-0.06,0.16,0.84,0.04,0.31,0.72,0.27,-0.17,-0.45,0.44,0.81,-1.06,-1.15,0.33,-0.51,-0.11,-1.07,-0.01,0.1,-0.29,0.67,0.03,0.0,-0.2,-0.19,0.2,-0.32,-0.52,1.12,0.08,-0.09,-0.34,-0.4,-0.26,-0.0,0.09,0.23,0.19,0.51,-0.52,-0.25,0.34,0.37,0.44,-0.64,0.04,0.38,1.28,3.286256840000222,-0.5980570600292398,-1.4735942244496671,-6.455116,27.121405,0
Rv1331,-,hypothetical protein,NE,conserved hypotheticals,-0.58,-0.29,0.26,0.2,0.14,-7.15,0.0,0.01,0.48,0.02,0.45,-0.34,-0.79,0.28,0.05,0.67,-1.34,-0.13,-0.23,-0.82,0.22,-0.71,-4.07,-2.57,-5.01,-3.15,-2.43,-0.66,1.05,1.36,0.32,-1.75,-1.66,-0.79,-0.73,0.05,-0.76,-0.65,-0.55,1.16,2.41,-1.3,-1.85,-0.55,1.15,-0.49,-0.67,-0.86,-1.11,-1.06,-0.75,-0.37,-0.03,-0.15,0.62,0.57,0.54,-1.21,-1.44,-4.42,-0.49,1.23,0.49,1.84,5.66177902866983,1.242261516928468,2.2242560752087503,-18.725912,7.2415514,3
Rv1332,-,Probable transcriptional regulatory protein,NE,regulatory proteins,0.12,0.14,-0.3,-1.58,-0.12,-4.17,0.91,0.13,1.51,1.32,0.12,-1.82,-1.94,0.39,-0.94,0.25,0.74,-0.37,-1.11,-1.6,-0.03,1.3,2.43,0.35,-1.69,-0.74,2.66,2.78,1.43,0.2,-1.2,-0.09,-1.58,-0.5,-0.35,0.96,-1.74,-1.24,2.32,1.32,0.56,0.06,-0.01,-0.07,-0.54,-0.23,-0.44,-0.24,-0.23,-0.82,-0.31,-0.45,0.14,-0.19,-5.84,0.53,0.17,-1.21,-1.4,-1.19,-3.52,-4.26,-1.75,4.26,5.62474956952753,-2.254688495993536,-3.6036807143688026,-2.7742214,32.919292,0
Rv1333,-,Probable hydrolase,NE,intermediary metabolism and respiration,-0.38,-0.23,-0.15,-0.56,0.02,-4.12,0.66,-0.17,1.31,0.5,-0.37,0.26,0.63,-0.24,-0.4,-0.57,0.47,-0.3,-0.1,-0.57,0.33,-0.01,-1.49,-2.98,-2.45,0.51,-0.22,-0.7,-0.5,-1.9,-1.46,0.43,0.47,-0.19,-0.2,1.14,-1.2,-0.46,0.87,-0.43,-0.08,-1.79,-1.33,0.46,-1.62,0.25,0.67,-0.03,-0.07,0.87,0.8,0.8,0.4,0.41,2.04,0.22,-0.93,1.57,-0.07,-0.12,0.63,1.9,-0.55,-1.23,0.8446298459694784,0.2166944500925018,-3.544639195175885,1.9189568,24.671288,3
Rv1334,mec,Possible hydrolase,NE,intermediary metabolism and respiration,-0.22,-0.17,-0.16,-0.44,0.01,-1.66,0.47,0.1,1.64,1.16,-0.57,0.26,0.84,-0.1,-0.16,-0.03,0.21,-0.02,0.29,-0.14,0.96,-0.88,-2.3,0.63,1.7,0.19,0.59,0.93,-0.54,-0.25,1.52,0.9,1.94,-0.12,-0.18,0.22,-0.02,-0.09,0.13,0.2,0.26,0.57,-0.45,-1.02,-1.4,0.47,1.2,-0.1,-0.2,2.7,1.97,0.68,0.05,0.51,0.78,0.37,-0.11,-0.02,0.47,-0.17,0.41,0.54,0.0,0.67,-2.24720190851071,-1.3238186114992905,0.4994438456892577,5.7521515,-8.216161,0
