"","Orf","Name","Desc","Sites","Sites_Hit","B6","B6_pval","B6_Qval","DBA","DBA_pval","DBA_Qval","BXD9","BXD9_pval","BXD9_Qval","BXD29","BXD29_pval","BXD29_Qval","BXD39","BXD39_pval","BXD39_Qval","BXD40","BXD40_pval","BXD40_Qval","BXD48a","BXD48a_pval","BXD48a_Qval","BXD51","BXD51_pval","BXD51_Qval","BXD54","BXD54_pval","BXD54_Qval","BXD56","BXD56_pval","BXD56_Qval","BXD60","BXD60_pval","BXD60_Qval","BXD62","BXD62_pval","BXD62_Qval","BXD67","BXD67_pval","BXD67_Qval","BXD69","BXD69_pval","BXD69_Qval","BXD73","BXD73_pval","BXD73_Qval","BXD73b","BXD73b_pval","BXD73b_Qval","BXD77","BXD77_pval","BXD77_Qval","BXD79","BXD79_pval","BXD79_Qval","BXD90","BXD90_pval","BXD90_Qval","BXD93","BXD93_pval","BXD93_Qval","BXD102","BXD102_pval","BXD102_Qval"
"2159","Rv2128","-","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ",6,5,0.21,0.7352,1,-0.91,0.2216,0.77628,-0.26,0.6963,1,-0.85,0.2551,1,-0.74,0.3164,0.92993,-0.09,0.8953,1,-0.89,0.4028,1,-0.16,0.8554,1,0.45,0.4434,1,-0.22,0.7293,1,0.58,0.3598,1,-0.37,0.5681,0.97685,-0.32,0.618,1,-0.17,0.7959,1,-0.02,0.967,1,0.08,0.9139,1,0.04,0.9367,1,0.22,0.7079,1,0.3,0.6015,1,0.44,0.5938,1,-0.05,0.9402,1
"2160","Rv2129c","-","short chain dehydrogenase ",14,12,-0.39,0.2609,1,-0.23,0.4987,0.96831,-0.21,0.5795,1,-0.19,0.5728,1,0.34,0.3083,0.92969,0.22,0.469,1,0.43,0.2971,1,-0.42,0.372,1,0.46,0.1595,0.90512,-0.12,0.712,1,0.13,0.6808,1,-0.31,0.3917,0.88969,0.02,0.9417,1,0.21,0.5123,1,0.02,0.9435,1,0.26,0.4895,1,-0.07,0.8319,1,0.15,0.64,1,-0.08,0.7851,1,-0.29,0.4375,1,0.12,0.7213,1
"2161","Rv2130c","cysS","cysteinyl-tRNA synthetase ",25,2,-0.24,0.7961,1,-0.24,0.7951,1,0.36,0.3205,1,-0.24,0.8009,1,-0.24,0.7941,1,-0.24,0.8012,1,-0.24,0.8584,1,-0.24,0.8617,1,0.79,0.14,0.87134,0.17,0.702,1,0.23,0.7079,1,-0.24,0.7959,1,-0.24,0.7956,1,-0.24,0.7925,1,-0.24,0.7889,1,-0.24,0.7938,1,-0.24,0.7939,1,-0.24,0.7923,1,0.33,0.6443,1,-0.24,0.8008,1,-0.2,0.7904,1
"2162","Rv2131c","cysQ","POSSIBLE MONOPHOSPHATASE CYSQ ",9,8,0.08,0.8472,1,1.57,2e-04,0.00917,0.39,0.4421,1,1.16,0.0196,0.36889,-1.56,0.0158,0.27529,0.67,0.0997,0.8184,0.54,0.3249,1,1.55,0.047,0.893,0.45,0.3586,1,1.02,0.0165,0.29131,0.62,0.2226,1,0.18,0.6931,1,0.32,0.607,1,1.17,0.0063,0.14874,1.52,6e-04,0.0292,0.67,0.3894,1,1.86,0,0,1.89,0,0,0.67,0.0772,0.8404,-0.11,0.8304,1,0.16,0.7388,1
"2163","Rv2132","-","hypothetical protein Rv2132 ",3,2,-0.01,0.9852,1,-0.36,0.5889,0.99641,0.49,0.4119,1,0.04,0.9499,1,0.26,0.6732,1,0.6,0.2909,1,0.07,0.944,1,0.06,0.9344,1,-0.68,0.3674,1,-0.08,0.8934,1,0.29,0.6366,1,-0.15,0.8195,1,0.24,0.702,1,-0.27,0.6975,1,-0.22,0.728,1,-0.29,0.6793,1,0.06,0.9295,1,-0.03,0.9667,1,-0.48,0.4621,1,-0.38,0.5933,1,0.4,0.5244,1
"2164","Rv2133c","-","hypothetical protein Rv2133c ",10,10,0.31,0.4016,1,0.1,0.7625,1,0.12,0.7542,1,-0.08,0.8368,1,-0.04,0.9143,1,-0.04,0.8956,1,-0.03,0.9519,1,0.56,0.1668,1,0.03,0.9336,1,0.01,0.9692,1,-0.03,0.93,1,-0.15,0.673,1,-0.07,0.8551,1,-0.07,0.8568,1,-0.18,0.6193,1,-0.16,0.6981,1,-0.04,0.9171,1,-0.22,0.5499,1,0.27,0.4804,1,0.11,0.8177,1,0.43,0.1969,0.95926
"2165","Rv2134c","-","hypothetical protein Rv2134c ",8,6,0.26,0.5693,1,0.86,0.0518,0.41251,0.4,0.4475,1,0.8,0.1014,0.9868,0.9,0.0566,0.51678,0.78,0.1195,0.88928,0.14,0.8198,1,0.9,0.1178,1,0.71,0.1436,0.87342,0.66,0.122,0.80257,0.92,0.0432,0.58171,0.92,0.1081,0.59085,0.63,0.1961,0.9756,0.61,0.1942,1,0.82,0.0607,0.6971,-0.11,0.8415,1,0.38,0.4104,1,0.5,0.2758,1,0.37,0.4226,1,1.38,0.0149,0.26541,0.66,0.1827,0.93629
"2166","Rv2135c","-","hypothetical protein Rv2135c ",6,3,-0.07,0.9502,1,0.97,0.3914,0.90901,-0.84,0.5268,1,-0.53,0.6586,1,0.33,0.7608,1,-0.56,0.6683,1,-0.26,0.801,1,-0.03,0.9637,1,-0.79,0.5324,1,0.58,0.6056,1,0.3,0.7951,1,0.45,0.6719,1,0.97,0.3973,1,0.44,0.6724,1,0.44,0.7043,1,-0.57,0.6454,1,0.21,0.8409,1,0.2,0.891,1,0.12,0.9105,1,-0.61,0.6286,1,-0.54,0.6429,1
"2167","Rv2136c","uppP","undecaprenyl pyrophosphate phosphatase ",14,8,0.17,0.7558,1,-0.01,0.9863,1,-0.01,0.9864,1,-0.09,0.8722,1,0.34,0.4937,1,-0.11,0.8471,1,0.02,0.9773,1,0.7,0.2305,1,-0.16,0.7822,1,0.05,0.93,1,-0.24,0.6898,1,-0.17,0.7743,1,-0.23,0.6981,1,-0.02,0.9783,1,-0.03,0.9592,1,0.01,0.9812,1,-0.01,0.9848,1,-0.1,0.8582,1,0.21,0.7069,1,0.29,0.625,1,0.29,0.5881,1
"2168","Rv2137c","-","hypothetical protein Rv2137c ",7,6,1.14,0.0249,0.50949,1.34,0.0225,0.26639,0.69,0.217,1,0.93,0.1064,1,0.72,0.2108,0.85217,1.09,0.0946,0.80906,0.45,0.5701,1,1.25,0.0678,1,0.8,0.1126,0.83045,1.35,0.0108,0.22098,0.47,0.4182,1,-0.01,0.9894,1,1.3,0.0582,0.54384,0.89,0.1527,0.98112,0.85,0.1328,0.996,1.32,0.0261,0.38007,0.64,0.2898,1,0.97,0.0456,0.62233,0.17,0.7971,1,0.99,0.0584,0.52838,1.36,0.0103,0.22959
"2169","Rv2138","lppL","Probable conserved lipoprotein LppL ",20,2,0.16,0.8792,1,-1.85,0.2844,0.83601,1.41,0.1892,0.98736,0.76,0.5458,1,-0.43,0.7683,1,-0.6,0.6235,1,1.01,0.5706,1,1.14,0.4563,1,-0.16,0.9058,1,-1.5,0.3333,1,0.73,0.5819,1,1.43,0.2521,0.81299,1.38,0.2015,0.97808,-0.19,0.8593,1,0.21,0.8777,1,-0.82,0.4964,1,0.55,0.6175,1,0.08,0.932,1,0.74,0.4831,1,-1.27,0.3621,0.9654,-0.93,0.5176,1
"2170","Rv2139","pyrD","dihydroorotate dehydrogenase 2 ",14,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"2171","Rv2140c","TB18.6","hypothetical protein Rv2140c ",12,9,0.25,0.7983,1,-4.24,0.0112,0.16737,-1.75,0.0628,0.628,-3.44,0.0139,0.29767,-3.54,0.017,0.2862,-2.72,0.0237,0.36511,-2.77,0.1038,1,-1.29,0.2818,1,-0.84,0.3132,1,-1.48,0.1033,0.76327,-2.51,0.0257,0.42538,-0.02,0.9711,1,-2.74,0.0264,0.34554,-4.24,0.0134,0.25582,-2.27,0.0424,0.58742,-4.24,0.0126,0.26255,-3.56,0.0155,0.30316,-3.96,0.0136,0.25476,-4.24,0.0135,0.29925,-3.18,0.0189,0.30164,-3.41,0.0166,0.31096
"2172","Rv2141c","-","hypothetical protein Rv2141c ",22,18,0.67,0.0397,0.65456,-0.18,0.6376,1,-0.43,0.2574,1,0.06,0.8837,1,-0.25,0.5587,1,0.24,0.4914,1,0.11,0.7976,1,0.4,0.334,1,-0.37,0.3178,1,0.27,0.3888,1,-0.03,0.938,1,0.33,0.347,0.86633,-0.1,0.7878,1,0.07,0.8284,1,-0.31,0.3987,1,0.32,0.396,1,0.01,0.9713,1,0.16,0.63,1,-0.17,0.6379,1,0.38,0.3702,0.97692,0.16,0.6739,1
"2173","Rv2142c","-","hypothetical protein Rv2142c ",13,12,0.03,0.9262,1,-0.07,0.817,1,0.23,0.4487,1,-0.35,0.2554,1,0.09,0.7795,1,-0.05,0.8655,1,0.07,0.8472,1,0,0.9951,1,-0.09,0.7473,1,0.01,0.97,1,0.1,0.7462,1,-0.07,0.8126,1,0.11,0.7327,1,-0.05,0.8728,1,-0.13,0.6825,1,0.12,0.7071,1,0.12,0.6763,1,-0.1,0.7456,1,0.33,0.2429,1,0.15,0.6102,1,-0.01,0.9693,1
"2174","Rv2143","-","hypothetical protein Rv2143 ",14,14,0.01,0.9608,1,0.13,0.6324,1,-0.14,0.6528,1,-0.04,0.8746,1,-0.29,0.3214,0.93119,-0.16,0.5898,1,-0.03,0.9443,1,-0.09,0.8019,1,-0.03,0.9292,1,0.07,0.7839,1,0,0.9977,1,0.55,0.0235,0.27578,0.11,0.711,1,-0.05,0.86,1,0.06,0.8213,1,-0.3,0.3364,0.98651,0,0.9886,1,0.05,0.8541,1,-0.11,0.6869,1,-0.3,0.3715,0.97754,0.01,0.9616,1
"2175","Rv2144c","-","Probable transmembrane protein ",5,3,-0.33,0.6485,1,-0.05,0.9335,1,0.15,0.8427,1,-0.15,0.8284,1,0.2,0.7605,1,-0.49,0.5267,1,0.19,0.8377,1,0.27,0.7579,1,-0.14,0.848,1,-0.09,0.8937,1,0.02,0.9693,1,-0.32,0.6605,1,-0.24,0.7372,1,0.04,0.9477,1,0.14,0.8311,1,-0.03,0.9717,1,0.06,0.9353,1,-0.18,0.7957,1,0.35,0.5935,1,0.95,0.1559,0.78939,-0.02,0.9771,1
"2176","Rv2145c","wag31","CONSERVED HYPOTHETICAL PROTEIN WAG31 ",12,1,-1.34,0.4961,1,-1.74,0.4104,0.92329,-2.2,0.3274,1,0.35,0.7752,1,-1.76,0.3889,0.97964,-0.03,0.9793,1,-0.03,0.9514,1,-3,0.528,1,0.29,0.7884,1,-1.99,0.3799,1,-0.66,0.645,1,-1.18,0.5164,0.95561,0.03,0.984,1,-0.64,0.6626,1,-1.73,0.4026,1,0.94,0.606,1,-1.07,0.5296,1,0.29,0.7969,1,0.64,0.5383,1,-2.02,0.2857,0.93804,-0.32,0.7798,1
"2177","Rv2146c","-","Possible conserved transmembrane protein ",1,1,2,0.0497,0.74831,1.8,0.0372,0.35173,3.46,0.0491,0.56573,-0.85,0.6189,1,-4.19,0.1952,0.83388,2.7,0.0504,0.60691,0.3,0.8296,1,4.08,0.165,1,2.35,0.05,0.61009,3.52,0.0498,0.55972,0.65,0.5697,1,1.92,0.2885,0.8269,3.73,0.1447,0.8784,0.48,0.6663,1,1.17,0.0709,0.75037,2.29,0.0463,0.50892,0.43,0.5668,1,1.13,0.1944,1,1.55,0.0471,0.68132,-4.19,0.19,0.84654,-1.41,0.3805,1
"2178","Rv2147c","-","hypothetical protein Rv2147c ",19,3,-0.36,0.6528,1,-0.01,0.9936,1,0.11,0.8854,1,-0.37,0.6576,1,-0.81,0.3715,0.9687,-0.27,0.7307,1,0.19,0.8492,1,-0.63,0.619,1,0.46,0.5188,1,-0.1,0.8986,1,-0.16,0.8403,1,0.13,0.8781,1,-0.15,0.8571,1,0,0.9955,1,-0.29,0.7187,1,0.11,0.8886,1,-0.07,0.9252,1,-0.04,0.9652,1,-0.05,0.9435,1,0.02,0.9819,1,0.1,0.8915,1
"2179","Rv2148c","-","hypothetical protein Rv2148c ",10,6,0.36,0.5928,1,-0.08,0.8968,1,-0.65,0.3304,1,-0.29,0.6353,1,-0.44,0.475,1,-0.44,0.484,1,0.18,0.8199,1,-0.27,0.743,1,-0.44,0.4761,1,0.03,0.9612,1,-1.18,0.1297,0.87712,-0.63,0.327,0.85444,-0.89,0.1923,0.9756,-0.37,0.551,1,-0.02,0.9769,1,-0.1,0.8837,1,-0.13,0.8262,1,-0.6,0.3741,1,0.13,0.8173,1,-0.15,0.8276,1,-1.35,0.075,0.67247
"2180","Rv2149c","yfiH","conserved hypothetical protein YfiH ",7,6,1.05,0.127,1,-0.03,0.963,1,0.16,0.8465,1,-0.23,0.7371,1,-0.6,0.3668,0.96603,0.44,0.4606,1,-0.41,0.6108,1,-0.02,0.9811,1,-0.54,0.3845,1,-0.33,0.5735,1,0.26,0.6445,1,0.37,0.4635,0.92746,-0.76,0.241,1,-0.45,0.4556,1,-0.52,0.3722,1,-0.49,0.5342,1,0.26,0.6795,1,-0.62,0.3399,1,-0.42,0.4576,1,0.09,0.8761,1,-1.15,0.115,0.80634
"2181","Rv2150c","ftsZ","cell division protein FtsZ ",8,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0.97,0.296,0.99933
"2182","Rv2151c","ftsQ","POSSIBLE CELL DIVISION PROTEIN FTSQ ",8,2,-1.33,0.2409,1,-0.54,0.5815,0.99641,-0.67,0.5025,1,-0.74,0.4781,1,-0.56,0.5651,1,-1,0.3459,1,-0.8,0.6067,1,-3.63,0.2343,1,-0.39,0.6901,1,0.61,0.555,1,0.51,0.7095,1,-2.11,0.1325,0.65674,-0.13,0.8732,1,-0.36,0.7006,1,0.37,0.6759,1,-1.85,0.1512,0.81084,-0.21,0.8252,1,-0.15,0.8819,1,-1.52,0.1876,1,0.35,0.7727,1,0.47,0.6067,1
"2183","Rv2152c","murC","UDP-N-acetylmuramate--L-alanine ligase ",14,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"2184","Rv2153c","murG","N-acetylglucosaminyl transferase ",14,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"2185","Rv2154c","ftsW","FtsW-like protein FtsW ",17,1,0.05,0.9671,1,-1.75,0.3417,0.87229,-1.15,0.432,1,0.27,0.7815,1,0.23,0.7798,1,-0.41,0.8008,1,-1.48,0.5989,1,-0.13,0.8663,1,0.42,0.7365,1,-0.75,0.5539,1,0.54,0.6746,1,0.65,0.5457,0.969,-1.4,0.4051,1,0.19,0.8732,1,-0.18,0.8931,1,-0.3,0.8752,1,-0.36,0.7608,1,-0.73,0.5758,1,0.52,0.6743,1,0.5,0.6902,1,-0.53,0.6916,1
"2186","Rv2155c","murD","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase ",21,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"2187","Rv2156c","mraY","phospho-N-acetylmuramoyl-pentapeptide-transferase ",12,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"2188","Rv2157c","murF","Probable UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate- D-alanyl-D-alanyl ligase MurF ",10,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"2189","Rv2158c","murE","UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase ",11,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"2190","Rv2159c","-","hypothetical protein Rv2159c ",6,6,-0.69,0.0048,0.168,-0.69,0.0021,0.05586,-0.31,0.1261,0.83644,-0.41,0.0554,0.73437,-0.76,8e-04,0.03941,-0.41,0.0666,0.72205,-1.28,1e-04,0.0114,0.3,0.1951,1,-1.03,0,0,-0.87,4e-04,0.01754,0.27,0.2526,1,-0.44,0.0489,0.40904,-0.72,0.0018,0.05936,-0.85,7e-04,0.02635,-0.54,0.0136,0.29174,-1.29,0,0,-0.7,9e-04,0.03702,-0.55,0.0059,0.14442,-0.5,0.0272,0.48021,-0.54,0.0214,0.321,-0.34,0.0883,0.7285
"2191","Rv2160A","-","hypothetical protein Rv2160A ",5,4,0.12,0.8376,1,0.62,0.2504,0.81293,0.62,0.2411,1,-0.23,0.6871,1,-0.32,0.5956,1,0.23,0.7009,1,-1.65,0.1519,1,0.57,0.4274,1,-1.44,0.0818,0.72529,0.35,0.5244,1,0.1,0.8811,1,0.98,0.0468,0.40244,0.06,0.9112,1,-0.49,0.4197,1,0.33,0.5361,1,-0.14,0.8349,1,-0.07,0.8999,1,-0.17,0.7666,1,0.48,0.398,1,0.8,0.1729,0.81835,0.71,0.2057,0.96538
"2192","Rv2160c","-","hypothetical protein Rv2160c ",3,2,-0.47,0.5667,1,0.55,0.4854,0.96356,0.68,0.2922,1,-0.23,0.74,1,-0.03,0.9755,1,0.45,0.5647,1,-1.85,0.3252,1,0.74,0.3959,1,-1.24,0.2021,0.96445,0.47,0.5248,1,0.42,0.6598,1,1.19,0.0595,0.45831,0.07,0.9246,1,-0.33,0.6733,1,0.49,0.475,1,0.32,0.6985,1,-0.16,0.8326,1,0.08,0.9146,1,0.39,0.6238,1,1.12,0.1303,0.7364,0.47,0.5646,1
"2193","Rv2161c","-","hypothetical protein Rv2161c ",9,8,-0.39,0.3087,1,-0.18,0.6281,1,-0.09,0.8011,1,-0.12,0.7514,1,-0.14,0.6926,1,-0.4,0.3104,1,-1,0.1087,1,-0.25,0.6155,1,-0.23,0.5583,1,-0.49,0.2284,0.99707,0.04,0.9144,1,0.06,0.8691,1,0.16,0.6831,1,-0.51,0.2205,1,-0.26,0.4963,1,-0.65,0.1464,0.80459,-0.28,0.4539,1,-0.28,0.4605,1,-0.46,0.2508,1,0.18,0.667,1,-0.43,0.2905,0.99933
"2194","Rv2162c","PE_PGRS38","PE-PGRS FAMILY PROTEIN ",14,10,0.36,0.411,1,-0.25,0.5926,0.99641,0,0.994,1,-0.19,0.6902,1,-0.39,0.4427,0.99617,0.19,0.6684,1,-0.8,0.2725,1,-0.14,0.8137,1,-0.18,0.6983,1,-0.11,0.8005,1,-0.26,0.5921,1,0.33,0.4633,0.92746,-0.09,0.8516,1,-0.38,0.437,1,0.42,0.3221,1,-1.39,0.0233,0.36174,-0.03,0.9548,1,-0.05,0.9111,1,-0.41,0.3884,1,0.31,0.4886,1,0.17,0.7251,1
"2195","Rv2163c","pbpB","Probable penicillin-binding membrane protein pbpB ",30,1,-0.26,0.8767,1,1.01,0.3649,0.88723,1.19,0.2779,1,-0.15,0.8983,1,-1.32,0.3406,0.94257,0.95,0.3886,1,0.64,0.6339,1,1.17,0.5343,1,0.77,0.5534,1,0.33,0.7523,1,1.39,0.2148,1,0.81,0.4595,0.92503,-0.76,0.5896,1,0.37,0.7414,1,0.23,0.7892,1,-0.11,0.9228,1,0.87,0.4474,1,0.48,0.6416,1,0.86,0.4574,1,0.78,0.5364,1,1.04,0.3507,1
"2196","Rv2164c","-","PROBABLE CONSERVED PROLINE RICH MEMBRANE PROTEIN ",10,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1.18,0.1665,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0.41,0.2849,0.99933
"2197","Rv2165c","mraW","S-adenosyl-methyltransferase MraW ",19,0,1.01,0.2859,1,0,1,1,0.57,0.081,0.68642,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0.4,0.2853,1,0,1,1,0,1,1,0.39,0.2781,0.93804,0,1,1
"2198","Rv2166c","-","hypothetical protein Rv2166c ",8,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1.88,0.1657,1,0,1,1,0,1,1,0,1,1,1.61,0.0811,0.75297,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0.59,0.2916,1,0,1,1,0,1,1,0,1,1
"2199","Rv2167c","-","PROBABLE TRANSPOSASE ",26,25,0.71,2e-04,0.01663,0.66,4e-04,0.01596,1,0,0,0.7,2e-04,0.01353,0.82,1e-04,0.00654,0.52,0.008,0.19114,0.51,0.037,0.88825,0.25,0.34,1,0.67,4e-04,0.0202,0.29,0.1426,0.86198,0.48,0.0154,0.31191,0.26,0.2302,0.79489,0.54,0.0109,0.19591,0.53,0.0051,0.13044,0.78,0,0,0.92,0,0,0.55,0.0043,0.12168,0.68,2e-04,0.0095,0.39,0.0415,0.643,0.66,0.0023,0.08577,0.54,0.0064,0.1606
"2200","Rv2168c","-","PROBABLE TRANSPOSASE ",6,6,0.47,0.1719,1,0.52,0.1341,0.65571,0.97,0.0085,0.20188,0.67,0.0348,0.54239,0.7,0.0348,0.41538,0.55,0.1081,0.85477,0.53,0.2467,1,0.81,0.0602,1,0.62,0.0665,0.69147,0.48,0.1434,0.8643,0.57,0.0909,0.77749,-0.06,0.8982,1,0.48,0.2118,0.99283,0.46,0.1938,1,0.69,0.0367,0.54733,0.67,0.0457,0.50481,0.52,0.1241,1,0.52,0.12,0.99958,0.42,0.2527,1,0.66,0.0455,0.48579,0.5,0.1116,0.798
"2201","Rv2169c","-","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ",6,2,0.42,0.7933,1,-0.66,0.598,0.99867,0.26,0.8359,1,0.06,0.9539,1,-3.74,0.1428,0.72861,-2.13,0.2641,1,-0.18,0.9359,1,-3.73,0.2406,1,-2.59,0.1939,0.95191,-0.18,0.8809,1,1.64,0.3337,1,-0.87,0.5557,0.97144,-1.31,0.3675,1,-2.8,0.1968,1,-0.31,0.791,1,-3.74,0.1562,0.82488,0.52,0.6154,1,0.45,0.6737,1,0.17,0.872,1,-3.27,0.1598,0.79402,-0.41,0.7404,1
"2202","Rv2170","-","hypothetical protein Rv2170 ",13,6,1.06,0.08,0.96265,-0.68,0.4434,0.93607,-0.34,0.652,1,-0.53,0.5531,1,-1.28,0.1805,0.81103,0.44,0.5491,1,0.45,0.6079,1,2.49,0.1153,1,-0.86,0.351,1,0.17,0.8163,1,-0.43,0.5764,1,0.23,0.7903,1,0.64,0.5169,1,-1.28,0.1742,1,-0.47,0.5877,1,-1.28,0.1867,0.86925,-0.25,0.7812,1,0.43,0.6607,1,0.25,0.7134,1,-2.43,0.0466,0.48802,-2.48,0.0459,0.53084
"2203","Rv2171","lppM","Probable conserved lipoprotein lppM ",8,6,0.92,0.1183,1,-0.91,0.0497,0.40469,-0.44,0.3265,1,-0.91,0.0547,0.72751,-1.06,0.0472,0.47921,-1.55,0.0047,0.13114,-0.68,0.2526,1,-0.16,0.7492,1,0.12,0.7815,1,-0.26,0.5047,1,-0.62,0.1737,0.97789,-1.38,0.023,0.27313,-2.51,5e-04,0.02036,-2.95,3e-04,0.01376,-0.9,0.0487,0.6248,-3.18,2e-04,0.01209,-0.53,0.2073,1,-0.53,0.2387,1,-0.01,0.9709,1,-2.73,1e-04,0.00713,-1.85,0.002,0.07125
"2204","Rv2172c","-","hypothetical protein Rv2172c ",18,1,-0.56,0.7024,1,-1.34,0.4276,0.93486,-0.13,0.9429,1,-0.03,0.9831,1,-0.14,0.9019,1,0.27,0.8302,1,-0.22,0.8659,1,0.5,0.6747,1,0.25,0.8287,1,-0.5,0.755,1,0.72,0.6032,1,0.18,0.8662,1,0.5,0.6859,1,0.43,0.6976,1,-0.22,0.8797,1,-0.03,0.9848,1,0.7,0.5438,1,0.85,0.5141,1,0.07,0.9566,1,-0.16,0.9425,1,-0.08,0.9658,1
"2205","Rv2173","idsA2","PROBABLE GERANYLGERANYL PYROPHOSPHATE SYNTHETASE IDSA2 (GGPPSASE) (GGPP SYNTHETASE) (GERANYLGERANYL DIPHOSPHATE SYNTHASE) ",18,11,0.1,0.8542,1,-0.02,0.9828,1,0.49,0.3993,1,0.39,0.4893,1,0.74,0.171,0.79015,0.53,0.3726,1,-0.89,0.3265,1,-0.92,0.3124,1,1.25,0.0575,0.66232,0.51,0.3721,1,0.64,0.3245,1,0.01,0.9882,1,0.9,0.1031,0.74389,0.5,0.3812,1,0.42,0.516,1,0.37,0.5515,1,0.78,0.1738,1,0.53,0.2931,1,0.52,0.3437,1,-0.38,0.5724,1,-0.4,0.5247,1
"2206","Rv2174","-","Possible conserved integral membrane protein ",27,1,-0.62,0.4478,1,-0.92,0.2548,0.81915,0.13,0.8888,1,-0.26,0.8178,1,-0.45,0.5093,1,0.01,0.996,1,0.29,0.7504,1,0.44,0.577,1,0.43,0.5387,1,-0.38,0.6229,1,1.58,0.0982,0.80291,-0.93,0.3243,0.85444,-0.08,0.9753,1,-0.93,0.3435,1,-0.92,0.1998,1,-0.92,0.2657,0.95124,-0.93,0.2927,1,0.78,0.4195,1,-0.4,0.5221,1,-0.93,0.3746,0.97754,-0.75,0.4089,1
"2207","Rv2175c","-","conserved hypothetical regulatory protein ",7,6,-0.07,0.8548,1,-0.12,0.7683,1,-0.29,0.5014,1,-0.2,0.6154,1,-0.2,0.6273,1,0.09,0.8129,1,-0.19,0.7263,1,0.08,0.8834,1,-0.47,0.2972,1,-0.12,0.7814,1,-0.36,0.4453,1,-0.59,0.219,0.77603,-0.17,0.6938,1,0.06,0.8821,1,-0.33,0.4359,1,-0.43,0.3743,1,-0.3,0.4998,1,-0.25,0.5475,1,-0.6,0.2008,1,-0.18,0.7055,1,-0.64,0.1807,0.93566
"2208","Rv2176","pknL","PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE L PKNL (PROTEIN KINASE L) (STPK L) ",23,18,0.89,0.0093,0.25949,0.7,0.0313,0.32105,-0.27,0.5235,1,0.54,0.1232,1,-0.37,0.2948,0.92449,0.52,0.1194,0.88928,0.58,0.141,1,1.1,0.0125,0.56039,0.55,0.1228,0.84385,0.5,0.1179,0.79397,0.1,0.7653,1,0.63,0.1659,0.7072,0.23,0.4972,1,0.57,0.0515,0.59218,-0.07,0.8354,1,0.87,0.0212,0.34269,0.7,0.0121,0.25544,0.18,0.5919,1,0.32,0.3062,1,0.42,0.2582,0.93486,0.91,0.0101,0.22768
