Rv_ID	gene_name	Description	Final Call	tuberculist_category	NN_joined
Rv1652	argC	Probable N-acetyl-gamma-glutamyl-phoshate reductase ArgC	Essential	intermediary metabolism and respiration	Rv2580c, Rv0283, Rv1383, Rv2678c, Rv2612c, Rv1327c, Rv3596c, Rv2906c, Rv0952, Rv0002
Rv1653	argJ	Probable glutamate N-acetyltransferase ArgJ	Essential	intermediary metabolism and respiration	Rv2953, Rv3045, Rv2950c, Rv0237, Rv2228c, Rv3449, Rv0564c, Rv0548c, Rv2780, Rv1270c
Rv1654	argB	Probable acetylglutamate kinase ArgB	Essential	intermediary metabolism and respiration	Rv1305, Rv1315, Rv0683, Rv0422c, Rv3230c, Rv2157c, Rv0357c, Rv2188c, Rv0682, Rv2720
Rv1655	argD	Probable acetylornithine aminotransferase ArgD	Essential	intermediary metabolism and respiration	Rv0706, Rv0423c, Rv0957, Rv1201c, Rv3915, Rv3581c, Rv2965c, Rv1310, Rv3458c, Rv0357c
Rv1656	argF	Probable ornithine carbamoyltransferase, anabolic ArgF	Essential	intermediary metabolism and respiration	Rv1381, Rv2244, Rv1603, Rv0534c, Rv3806c, Rv2572c, Rv2247, Rv2361c, Rv1094, Rv1827
Rv1657	argR	Probable arginine repressor ArgR (AHRC)	Non essential	regulatory proteins	Rv2181, Rv3583c, Rv2453c, Rv2175c, Rv2215, Rv2795c, Rv1474c, Rv0079, Rv1611, Rv1285
Rv1658	argG	Probable argininosuccinate synthase ArgG	Essential	intermediary metabolism and respiration	Rv2987c, Rv1689, Rv1547, Rv0542c, Rv1098c, Rv1606, Rv0509, Rv0002, Rv2460c, Rv2357c
Rv1659	argH	Probable argininosuccinate lyase ArgH	Essential	intermediary metabolism and respiration	Rv0285, Rv2145c, Rv1599, Rv0382c, Rv0558, Rv2373c, Rv0886, Rv1605, Rv1182, Rv1330c
Rv1660	pks10	Chalcone synthase Pks10	Non essential	lipid metabolism	Rv2156c, Rv1196, Rv2294, Rv0006, Rv2299c, Rv3366, Rv1625c, Rv0286, Rv1309, Rv1771
Rv1661	pks7	Probable polyketide synthase Pks7	Non essential	lipid metabolism	Rv3062, Rv0500, Rv1562c, Rv2213, Rv3878, Rv1258c, Rv1088, Rv3911, Rv2031c, Rv3754
Rv1662	pks8	Probable polyketide synthase Pks8	Non essential	lipid metabolism	Rv2211c, Rv2593c, Rv2068c, Rv0813c, Rv1433, Rv2783c, Rv1992c, Rv3330, Rv1288, Rv0853c
Rv1663	pks17	Probable polyketide synthase Pks17	Non essential	lipid metabolism	Rv1743, Rv3150, Rv3151, Rv3152, Rv0867c, Rv3392c, Rv3145, Rv0980c, Rv0107c, Rv2973c
Rv1664	pks9	Probable polyketide synthase Pks9	Non essential	lipid metabolism	Rv1654, Rv3230c, Rv0683, Rv1305, Rv1315, Rv0422c, Rv2157c, Rv0357c, Rv0682, Rv2188c
Rv1665	pks11	Chalcone synthase Pks11	Non essential	lipid metabolism	Rv2066, Rv2868c, Rv0022c, Rv2208, Rv2741, Rv3085, Rv3653, Rv2200c, Rv2948c, Rv0761c
Rv1666c	cyp139	Probable cytochrome P450 139 Cyp139	Non essential	intermediary metabolism and respiration	Rv3740c, Rv1246c, Rv3080c, Rv1985c, Rv3743c, Rv0629c, Rv2009, Rv3056, Rv3862c, Rv1256c
Rv1667c	-	Probable second part of macrolide-transport ATP-binding protein ABC transporter	Non essential	cell wall and cell processes	Rv0620, Rv1368, Rv3309c, Rv1872c, Rv0277c, Rv3600c, Rv3452, Rv0677c, Rv0847, Rv3826
Rv1668c	-	Probable first part of macrolide-transport ATP-binding protein ABC transporter	Non essential	cell wall and cell processes	Rv0904c, Rv1408, Rv2584c, Rv3854c, Rv2345, Rv2266, Rv2861c, Rv1206, Rv2880c, Rv2793c
Rv1669	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv2429, Rv0182c, Rv3133c, Rv2006, Rv3089, Rv0233, Rv2958c, Rv0889c, Rv0114, Rv1777
Rv1670	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3919c, Rv2149c, Rv1346, Rv2601, Rv3310, Rv0631c, Rv0595c, Rv2985, Rv1991c, Rv2548
Rv1671	-	Probable membrane protein	Non essential	cell wall and cell processes	Rv2285, Rv2902c, Rv3674c, Rv2389c, Rv0985c, Rv0631c, Rv1818c, Rv2727c, Rv2149c, Rv1991c
Rv1672c	-	Probable conserved integral membrane transport protein	Non essential	cell wall and cell processes	Rv0956, Rv3886c, Rv2332, Rv0934, Rv2950c, Rv3509c, Rv2196, Rv1242, Rv2301, Rv2953
Rv1673c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0148, Rv1746, Rv0233, Rv0802c, Rv2958c, Rv0182c, Rv3089, Rv2407, Rv1317c, Rv3133c
Rv1674c	-	Probable transcriptional regulatory protein	Non essential	regulatory proteins	Rv3792, Rv3515c, Rv1843c, Rv1915, Rv0015c, Rv1760, Rv3469c, Rv0351, Rv2029c, Rv2402
Rv1675c	cmr	Probable transcriptional regulatory protein Cmr	Non essential	regulatory proteins	Rv0230c, Rv1160, Rv2548, Rv1911c, Rv2727c, Rv2579, Rv2389c, Rv1818c, Rv2719c, Rv2112c
Rv1676	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1980c, Rv3408, Rv0764c, Rv0221, Rv2296, Rv1876, Rv1983, Rv3377c, Rv3825c, Rv0845
Rv1677	dsbF	Probable conserved lipoprotein DsbF	Non essential	cell wall and cell processes	Rv2112c, Rv2579, Rv2922c, Rv3318, Rv0438c, Rv1160, Rv1675c, Rv0230c, Rv1911c, NONE
Rv1678	-	Probable integral membrane protein	Non essential	cell wall and cell processes	Rv1608c, Rv2816c, Rv2428, Rv1187, Rv1848, Rv0220, Rv1264, Rv3155, Rv3130c, Rv1755c
Rv1679	fadE16	Possible acyl-CoA dehydrogenase FadE16	Non essential	lipid metabolism	Rv3835, Rv0626, Rv0211, Rv0596c, Rv3358, Rv0900, Rv2865, Rv0126, Rv3240c, Rv2829c
Rv1680	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv2181, Rv1474c, Rv2453c, Rv0079, Rv3583c, Rv2175c, Rv2215, Rv1475c, Rv0153c, Rv2150c
Rv1681	moeX	Possible molybdopterin biosynthesis protein MoeX	Non essential	intermediary metabolism and respiration	Rv3841, Rv3082c, Rv0254c, Rv0858c, Rv1739c, Rv2002, Rv0586, Rv3364c, Rv2602, NONE
Rv1682	-	Probable coiled-coil structural protein	Non essential	conserved hypotheticals	Rv0895, Rv1341, Rv3315c, Rv3307, Rv1563c, Rv1267c, Rv1859, Rv3480c, Rv3316, Rv3309c
Rv1683	-	Possible bifunctional enzyme; long-chain acyl-CoA synthase and lipase	Non essential	lipid metabolism	Rv0582, Rv3610c, Rv0478, Rv3687c, Rv0113, Rv2623, Rv0208c, Rv3592, Rv0557, Rv1604
Rv1684	-	hypothetical protein	Growth defect	conserved hypotheticals	Rv3795, Rv0641, Rv0952, Rv0562, Rv2555c, Rv2139, Rv1713, Rv0350, Rv1380, Rv1383
Rv1685c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1240, Rv0846c, Rv3464, Rv3846, Rv2111c, Rv2523c, Rv0510, Rv2711, Rv2124c, Rv3303c
Rv1686c	-	Probable conserved integral membrane protein ABC transporter	Non essential	cell wall and cell processes	Rv0418, Rv3272, Rv3589, Rv2530c, Rv3911, Rv0749, Rv2596, Rv1088, Rv0070c, Rv3610c
Rv1687c	-	Probable conserved ATP-binding protein ABC transporter	Non essential	cell wall and cell processes	Rv2501c, Rv2351c, Rv1651c, Rv2824c, Rv3825c, Rv1997, Rv1028c, Rv0669c, Rv2158c, Rv1392
Rv1688	mpg	Possible 3-methyladenine DNA glycosylase Mpg	Non essential	information pathways	Rv1180, Rv2821c, Rv0114, Rv0889c, Rv1425, Rv1777, Rv2952, Rv2006, Rv0570, Rv3734c
Rv1689	tyrS	Probable tyrosyl-tRNA synthase TyrS (TYRRS)	Essential	information pathways	Rv1547, Rv0542c, Rv0684, Rv0640, Rv2357c, Rv3597c, Rv0509, Rv3708c, Rv1018c, Rv2703
Rv1690	lprJ	Probable lipoprotein LprJ	Non essential	cell wall and cell processes	Rv2349c, Rv1297, Rv3065, Rv1552, Rv2136c, Rv0194, Rv3825c, Rv0844c, Rv2501c, Rv2631
Rv1691	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2112c, Rv2922c, Rv3318, Rv0438c, Rv2579, Rv1675c, Rv1160, Rv0230c, Rv1909c, NONE
Rv1692	-	Probable phosphatase	Non essential	intermediary metabolism and respiration	Rv3866, Rv1447c, Rv3557c, Rv1846c, Rv0432, Rv0191, Rv0981, Rv3703c, Rv1221, Rv2677c
Rv1693	-	hypothetical protein	Uncertain	conserved hypotheticals	Rv3823c, Rv0009, Rv2710, Rv3545c, Rv0019c, Rv1819c, Rv3910, Rv3433c, Rv3570c, Rv1221
Rv1694	tlyA	2'-O-methyltransferase TlyA	Non essential	virulence, detoxification, adaptation	Rv2673, Rv0073, Rv0292, Rv1270c, Rv3097c, Rv0564c, Rv2228c, Rv3449, Rv1033c, Rv0869c
Rv1695	ppnK	Inorganic polyphosphate/ATP-NAD kinase PpnK (poly(P)/ATP NAD kinase)	Essential	intermediary metabolism and respiration	Rv0551c, Rv1430, Rv3609c, Rv3573c, Rv0643c, Rv1294, Rv2155c, Rv1511, Rv1028c, Rv3156
Rv1696	recN	Probable DNA repair protein RecN (recombination protein N)	Non essential	information pathways	Rv3080c, Rv3740c, Rv1246c, Rv2009, Rv2484c, Rv3056, Rv1985c, Rv0518, Rv0629c, Rv1384
Rv1697	-	hypothetical protein	Essential	conserved hypotheticals	Rv2418c, Rv3273, Rv3822, Rv2525c, Rv1420, Rv1496, Rv3908, Rv3722c, Rv0490, Rv3790
Rv1698	mctB	Outer membrane protein MctB	Non essential	cell wall and cell processes	Rv1932, Rv3413c, Rv2733c, Rv0983, Rv2476c, Rv1822, Rv0561c, Rv3283, Rv2359, Rv2171
Rv1699	pyrG	Probable CTP synthase PyrG	Essential	intermediary metabolism and respiration	Rv3791, Rv2841c, Rv1605, Rv0153c, Rv1330c, Rv0549c, Rv0886, Rv0382c, Rv0558, Rv2145c
Rv1700	-	NUDIX hydrolase	Non essential	information pathways	Rv2524c, Rv0859, Rv0860, Rv1280c, Rv2051c, Rv2151c, Rv1412, Rv1391, Rv2869c, Rv2171
Rv1701	-	Probable integrase/recombinase	Non essential	insertion seqs and phages	Rv1391, Rv1280c, Rv1492, Rv2151c, Rv0256c, Rv1412, Rv0009, Rv1493, Rv3823c, Rv1314c
Rv1702c	-	hypothetical protein	Essential domain	insertion seqs and phages	Rv0444c, Rv0417, Rv1306, Rv1484, Rv2121c, Rv1075c, Rv2742c, Rv2539c, Rv2823c, Rv3012c
Rv1703c	-	Probable catechol-O-methyltransferase	Non essential	intermediary metabolism and respiration	Rv2068c, Rv2211c, Rv2783c, Rv3879c, Rv1020, Rv2593c, Rv1013, Rv0938, Rv3330, Rv1994c
Rv1704c	cycA	Probable D-serine/alanine/glycine transporter protein CycA	Non essential	cell wall and cell processes	Rv3425, Rv2447c, Rv1293, Rv3012c, Rv3598c, Rv1306, Rv2465c, Rv2539c, Rv2742c, Rv0444c
Rv1705c	PPE22	PPE family protein PPE22	Non essential	PE/PPE	Rv0503c, Rv2607, Rv2373c, Rv1182, Rv3389c, Rv3059, Rv0453, Rv0285, Rv0886, Rv1330c
Rv1706A	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1909c, Rv3586, Rv0206c, Rv0438c, Rv3318, Rv2922c, Rv2112c, Rv0600c, NONE, NONE
Rv1706c	PPE23	PPE family protein PPE23	Non essential	PE/PPE	Rv2795c, Rv1611, Rv2453c, Rv2175c, Rv2181, Rv2150c, Rv3583c, Rv2946c, Rv1131, Rv3441c
Rv1706c	PPE23	PPE family protein PPE23	Non essential	PE/PPE	Rv2795c, Rv1611, Rv2453c, Rv2175c, Rv2181, Rv2150c, Rv3583c, Rv2946c, Rv1131, Rv3441c
Rv1706c	PPE23	PPE family protein PPE23	Non essential	PE/PPE	Rv2795c, Rv1611, Rv2453c, Rv2175c, Rv2181, Rv2150c, Rv3583c, Rv2946c, Rv1131, Rv3441c
Rv1707	-	Probable conserved transmembrane protein	Non essential	cell wall and cell processes	Rv0386, Rv2763c, Rv1143, Rv0301, Rv2820c, Rv0901, Rv2914c, Rv1399c, Rv0844c, Rv3585
Rv1708	-	Putative initiation inhibitor protein	Essential	cell wall and cell processes	Rv0291, Rv2093c, Rv3778c, Rv0638, Rv3014c, Rv3455c, Rv2438c, Rv2753c, Rv2194, Rv1594
Rv1709	scpA	Possible segregation and condensation protein ScpA	Non essential	cell wall and cell processes	Rv1474c, Rv2215, Rv1633, Rv0241c, Rv0129c, Rv1475c, Rv2181, Rv3583c, Rv0407, Rv1285
Rv1710	scpB	Possible segregation and condensation protein ScpB	Non essential	cell wall and cell processes	Rv3310, Rv0595c, Rv1991c, Rv1247c, Rv1736c, Rv0631c, Rv2601, Rv1346, Rv1168c, Rv2074
Rv1711	-	hypothetical protein	Growth defect	conserved hypotheticals	Rv0524, Rv3490, Rv2364c, Rv2883c, Rv2764c, Rv1991A, Rv2697c, Rv0287, Rv2130c, Rv2611c
Rv1712	cmk	Cytidylate kinase Cmk (CMP kinase) (cytidine monophosphate kinase) (ck)	Growth defect	intermediary metabolism and respiration	Rv3087, Rv3505, Rv3214, Rv1849, Rv0321, Rv1207, Rv0732, Rv2427c, Rv2234, Rv3405c
Rv1713	engA	Probable GTP-binding protein EngA	Essential	intermediary metabolism and respiration	Rv0350, Rv3436c, Rv1380, Rv2925c, Rv1536, Rv2555c, Rv3834c, Rv1389, Rv3795, Rv3800c
Rv1714	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv3488, Rv2744c, Rv1185c, Rv1561, Rv3357, Rv2350c, Rv1001, Rv0751c, Rv2232, Rv2430c
Rv1715	fadB3	Probable 3-hydroxybutyryl-CoA dehydrogenase FadB3 (beta-hydroxybutyryl-CoA dehydrogenase) (BHBD)	Non essential	lipid metabolism	Rv1596, Rv1737c, Rv2848c, Rv0065, Rv2819c, Rv3853, Rv1495, Rv0694, Rv2031c, Rv0070c
Rv1716	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2548, Rv1675c, Rv0230c, Rv1160, Rv2727c, Rv1911c, Rv2579, Rv2389c, Rv2149c, Rv3919c
Rv1717	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1102c, Rv0409, Rv3383c, Rv1108c, Rv2602, Rv0734, Rv0858c, Rv2002, Rv0050, Rv3364c
Rv1718	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3452, Rv0677c, Rv0847, Rv1368, Rv3826, Rv3309c, Rv0908, Rv1886c, Rv0620, Rv3600c
Rv1719	-	Probable transcriptional regulatory protein	Non essential	regulatory proteins	Rv3619c, Rv2878c, Rv2176, Rv3409c, Rv0624, Rv2631, Rv2970c, Rv2243, Rv1601, Rv3821
Rv1720c	vapC12	Possible toxin VapC12	Non essential	virulence, detoxification, adaptation	Rv1218c, Rv3130c, Rv3565, Rv3155, Rv0220, Rv1264, Rv1169c, Rv2428, Rv1848, Rv0601c
Rv1721c	vapB12	Possible antitoxin VapB12	Non essential	virulence, detoxification, adaptation	Rv1963c, Rv3910, Rv3545c, Rv3534c, Rv2034, Rv3570c, Rv0712, Rv0256c, Rv1492, Rv3875
Rv1722	-	Possible carboxylase	Non essential	lipid metabolism	Rv0148, Rv0802c, Rv3826, Rv1746, Rv0978c, Rv1886c, Rv3119, Rv3109, Rv3309c, Rv1368
Rv1723	-	Probable hydrolase	Non essential	intermediary metabolism and respiration	Rv0079, Rv2453c, Rv2181, Rv0153c, Rv1474c, Rv2150c, Rv2175c, Rv3583c, Rv1202, Rv1131
Rv1724c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv3704c, Rv0754, Rv1996, Rv3702c, Rv1731, Rv2964, Rv1563c, Rv1267c, Rv3086, Rv3316
Rv1725c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0187, Rv2688c, Rv3203, Rv0577, Rv1223, Rv1425, Rv2959c, Rv1076, Rv1219c, Rv0570
Rv1726	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv3287c, Rv1542c, Rv2074, Rv2873, Rv3339c, Rv1082, Rv1984c, Rv3504, Rv1634, Rv1168c
Rv1727	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3518c, Rv2870c, Rv0005, Rv0902c, Rv1938, Rv1169c, Rv3565, Rv1187, Rv2816c, Rv1608c
Rv1728c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1267c, Rv3480c, Rv1563c, Rv1341, Rv0895, Rv3086, Rv3315c, Rv0802c, Rv3704c, NONE
Rv1729c	-	Possible S-adenosylmethionine-dependent methyltransferase	Non essential	lipid metabolism	Rv3561, Rv3793, Rv3378c, Rv1400c, Rv3913, Rv1027c, Rv1931c, Rv3045, Rv2780, NONE
Rv1730c	-	Possible penicillin-binding protein	Non essential	cell wall and cell processes	Rv0091, Rv0385, Rv3234c, Rv1009, Rv0937c, Rv0866, Rv1033c, Rv2346c, Rv1198, Rv3371
Rv1731	gabD2	Possible succinate-semialdehyde dehydrogenase [NADP+] dependent (SSDH) GabD2	Non essential	intermediary metabolism and respiration	Rv3506, Rv3734c, Rv3086, Rv1777, Rv3704c, Rv1267c, Rv1996, Rv1173, Rv0754, Rv3089
Rv1732c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0864, Rv1478, Rv1860, Rv3313c, Rv0693, Rv3703c, Rv2427c, Rv1846c, Rv0191, Rv3505
Rv1733c	-	Probable conserved transmembrane protein	Non essential	cell wall and cell processes	Rv1082, Rv2284, Rv1168c, Rv3370c, Rv2074, Rv0573c, Rv1542c, Rv2873, Rv3287c, Rv3111
Rv1734c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2217, Rv0949, Rv0617, Rv3667, Rv1021, Rv3282, Rv2626c, Rv0192, Rv0130, Rv2819c
Rv1735c	-	Hypothetical membrane protein	Non essential	cell wall and cell processes	Rv2740, Rv3416, Rv3763, Rv0693, Rv2234, Rv3313c, Rv2010, Rv3405c, Rv1478, Rv1857
Rv1736c	narX	Probable nitrate reductase NarX	Non essential	intermediary metabolism and respiration	Rv1247c, Rv3384c, Rv3310, Rv2601, Rv1168c, Rv0595c, Rv1346, Rv1991c, Rv0631c, Rv2985
Rv1737c	narK2	Possible nitrate/nitrite transporter NarK2	Non essential	cell wall and cell processes	Rv2848c, Rv1596, Rv3853, Rv2031c, Rv1258c, Rv0065, Rv3855, Rv1448c, NONE, NONE
Rv1738	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0438c, Rv3318, Rv2922c, Rv2112c, Rv1909c, Rv2579, Rv0206c, NONE, NONE, NONE
Rv1739c	-	Probable sulphate-transport transmembrane protein ABC transporter	Non essential	cell wall and cell processes	Rv3841, Rv3082c, Rv0254c, Rv2002, Rv1253, Rv2602, Rv2103c, Rv0858c, Rv0734, Rv1857
Rv1740	vapB34	Possible antitoxin VapB34	Non essential	virulence, detoxification, adaptation	Rv0982, Rv2865, Rv0596c, Rv3358, Rv3240c, Rv1259, Rv0626, Rv0211, Rv2919c, Rv0496
Rv1741	vapC34	Possible toxin VapC34 Contains PIN domain	Non essential	virulence, detoxification, adaptation	Rv3082c, Rv3841, Rv0254c, Rv1739c, Rv2002, Rv0858c, Rv2602, Rv0586, Rv3364c, Rv1253
Rv1742	-	hypothetical protein	Non essential	unknown	Rv1075c, Rv2823c, Rv1189, Rv3585, Rv1399c, Rv0252, Rv0444c, Rv2701c, Rv0901, Rv0301
Rv1743	pknE	Probable transmembrane serine/threonine-protein kinase E PknE (protein kinase E) (STPK E)	Non essential	regulatory proteins	Rv3150, Rv3151, Rv3152, Rv0867c, Rv0980c, Rv0107c, Rv3392c, Rv3145, Rv1372, Rv2973c
Rv1744c	-	Probable membrane protein	Non essential	cell wall and cell processes	Rv1771, Rv0683, Rv1196, Rv3808c, Rv2156c, Rv2299c, Rv0054, Rv2294, Rv1654, Rv3225c
Rv1745c	idi	Probable isopentenyl-diphosphate delta-isomerase Idi (IPP isomerase) (isopentenyl pyrophosphate isomerase)	Non essential	intermediary metabolism and respiration	Rv3119, Rv3398c, Rv3109, Rv0978c, Rv1886c, Rv1746, Rv0847, Rv0677c, Rv3826, Rv0908
Rv1746	pknF	Anchored-membrane serine/threonine-protein kinase PknF (protein kinase F) (STPK F)	Non essential	regulatory proteins	Rv0978c, Rv3119, Rv0148, Rv2958c, Rv2407, Rv0233, Rv1317c, Rv1344, Rv1745c, Rv1886c
Rv1747	-	Probable conserved transmembrane ATP-binding protein ABC transporter	Non essential	cell wall and cell processes	Rv0676c, Rv2590, Rv0447c, Rv3469c, Rv0159c, Rv0516c, Rv0015c, Rv0899, Rv1760, Rv2029c
Rv1748	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0694, Rv2818c, Rv2819c, Rv2817c, Rv1495, Rv0065, Rv3702c, Rv0192, Rv2964, Rv2822c
Rv1749c	-	Possible integral membrane protein	Non essential	cell wall and cell processes	Rv0414c, Rv1560, Rv1364c, Rv2032, Rv2713, Rv3043c, Rv3628, Rv0116c, Rv3547, Rv0583c
Rv1750c	fadD1	Possible fatty-acid-CoA ligase FadD1 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	Non essential	lipid metabolism	Rv2465c, Rv2095c, Rv3598c, Rv2440c, Rv3012c, Rv2742c, Rv3425, Rv2121c, Rv1306, Rv1484
Rv1751	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv3045, Rv1931c, Rv1400c, Rv2780, Rv1653, Rv3561, Rv2950c, Rv0237, Rv2953, Rv3378c
Rv1752	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1218c, Rv3565, Rv1169c, Rv3130c, Rv3155, Rv0220, Rv1264, Rv1938, Rv1187, Rv1608c
Rv1753c	PPE24	PPE family protein PPE24	Non essential	PE/PPE	Rv1984c, Rv2737c, Rv3451, Rv2275, Rv1634, Rv2873, Rv3111, Rv3339c, Rv1542c, Rv3287c
Rv1754c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0899, Rv2590, Rv0447c, Rv0516c, Rv0676c, Rv0159c, Rv1747, Rv3617, Rv3469c, Rv3824c
Rv1755c	plcD	Probable phospholipase C 4 (fragment) PlcD	Non essential	intermediary metabolism and respiration	Rv3444c, Rv1848, Rv2428, Rv0601c, Rv3197A, Rv1264, Rv3155, Rv0220, Rv1608c, Rv3130c
Rv1756c	-	Putative transposase	Non essential	insertion seqs and phages	Rv2461c, Rv3261, Rv1286, Rv2335, Rv3262, Rv2334, Rv1170, Rv3696c, Rv0554, Rv0899
Rv1757c	-	Putative transposase for insertion sequence element IS6110 (fragment)	Non essential	insertion seqs and phages	Rv0554, Rv2461c, Rv3261, Rv1286, Rv2335, Rv3262, Rv2334, Rv1170, Rv3696c, Rv0899
Rv1758	cut1	Probable cutinase Cut1	Non essential	cell wall and cell processes	Rv3309c, Rv3480c, Rv1368, Rv3826, Rv0620, Rv0802c, Rv0895, Rv1267c, NONE, NONE
Rv1759c	wag22	PE-PGRS family protein Wag22	Non essential	PE/PPE	Rv2275, Rv3451, Rv2737c, Rv1984c, Rv1634, Rv1625c, Rv3111, Rv1161, Rv2873, Rv0573c
Rv1760	-	Possible triacylglycerol synthase (diacylglycerol acyltransferase)	Non essential	lipid metabolism	Rv2029c, Rv0351, Rv1843c, Rv3824c, Rv0598c, Rv1915, Rv3469c, Rv0015c, Rv0159c, Rv0516c
Rv1761c	-	Possible exported protein	Non essential	cell wall and cell processes	Rv2389c, Rv2902c, Rv2285, Rv1818c, Rv2727c, Rv0985c, Rv3674c, Rv1911c, Rv2548, Rv0230c
Rv1762c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1558, Rv0505c, Rv3124, Rv0512, Rv1103c, Rv0342, Rv2416c, Rv3297, Rv1981c, Rv0848
Rv1763	-	Putative transposase for insertion sequence element IS6110 (fragment)	Non essential	insertion seqs and phages	Rv0554, Rv2461c, Rv3261, Rv1286, Rv2335, Rv3262, Rv2334, Rv1170, Rv3696c, Rv0899
Rv1764	-	Putative transposase	Non essential	insertion seqs and phages	Rv2461c, Rv3261, Rv1286, Rv2335, Rv3262, Rv2334, Rv1170, Rv3696c, Rv0554, Rv0899
Rv1765A	-	Putative transposase (fragment)	Non essential	insertion seqs and phages	Rv0129c, Rv0241c, Rv1184c, Rv1633, Rv3586, Rv2215, Rv0600c, Rv1474c, Rv0206c, Rv0407
Rv1765c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3065, Rv2349c, Rv1297, Rv1690, Rv0221, Rv3825c, Rv2631, Rv2136c, Rv2296, Rv1552
Rv1766	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2579, Rv1675c, Rv0230c, Rv1160, Rv2112c, Rv2548, Rv1911c, Rv2727c, Rv0438c, Rv2922c
Rv1767	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2823c, Rv3585, Rv1075c, Rv0252, Rv0901, Rv1399c, Rv3382c, Rv0301, Rv2158c, Rv1189
Rv1768	PE_PGRS31	PE-PGRS family protein PE_PGRS31	Non essential	PE/PPE	Rv1129c, Rv0570, Rv3088, Rv3681c, Rv1219c, Rv1130, Rv2952, Rv1261c, Rv1029, Rv1497
Rv1769	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2601, Rv1346, Rv3310, Rv1736c, Rv1247c, Rv2985, Rv0595c, Rv0631c, Rv1991c, Rv2149c
Rv1770	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2345, Rv1408, Rv3628, Rv1560, Rv0904c, Rv2713, Rv3854c, Rv0414c, Rv2032, Rv3043c
Rv1771	-	L-gulono-1,4-lactone dehydrogenase	Non essential	intermediary metabolism and respiration	Rv3808c, Rv0054, Rv3225c, Rv2725c, Rv2299c, Rv2701c, Rv0683, Rv1189, Rv1196, Rv3106
Rv1772	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv2950c, Rv3045, Rv1653, Rv2953, Rv2332, Rv0956, Rv1931c, Rv2780, Rv1400c, Rv0237
Rv1773c	-	Probable transcriptional regulatory protein	Non essential	regulatory proteins	Rv3416, Rv2740, Rv3763, Rv0693, Rv2234, Rv2010, Rv3313c, Rv3405c, Rv1478, Rv1857
Rv1774	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv1991c, Rv3287c, Rv0595c, Rv3674c, Rv0631c, Rv3310, Rv3504, Rv2074, Rv1542c, Rv3339c
Rv1775	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2149c, Rv1346, Rv3919c, Rv2601, Rv0631c, Rv3310, Rv0595c, Rv1991c, Rv2548, Rv2985
Rv1776c	-	Possible transcriptional regulatory protein	Non essential	regulatory proteins	Rv3318, Rv0438c, Rv2922c, Rv2112c, Rv1909c, Rv2579, Rv1675c, NONE, NONE, NONE
Rv1777	cyp144	Probable cytochrome P450 144 Cyp144	Non essential	intermediary metabolism and respiration	Rv3089, Rv3133c, Rv3506, Rv3734c, Rv3086, Rv1731, Rv0182c, NONE, NONE, NONE
Rv1778c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3318, Rv2922c, Rv0438c, Rv2112c, Rv1909c, Rv2579, Rv0206c, Rv1675c, NONE, NONE
Rv1779c	-	Possible integral membrane protein	Non essential	cell wall and cell processes	Rv2289, Rv2436, Rv2006, Rv2429, Rv2911, Rv1317c, Rv2407, Rv0182c, Rv2958c, Rv0233
Rv1780	-	hypothetical protein	Growth advantage	conserved hypotheticals	Rv3763, Rv2740, Rv3416, Rv2234, Rv3405c, Rv0693, Rv2010, Rv1207, Rv1857, Rv3505
